PG.ProteinGroups,P0,P50
Q9BRJ6,-23.2534966642115,-6.11395534192576
Q6UXD5,-8.26615441998733,-2.60431145922315
Q8NC60,-15.6151034327413,-3.40315411122296
Q7Z7E8,-7.26241948097109,-4.63471539325626
Q15173,-12.9787965055676,-6.11367406826599
Q8NDY3,-1.17724942886489,-13.0100341652746
P32297,-3.85331338284456,-14.1092824067904
Q9C040,-12.792440685429,-7.95115143374096
P18615,-10.8697915787857,-3.89805059591697
O43815,-13.7353598772861,-6.01804252259531
O14492,-23.2534966642115,-5.79670566878096
Q9H8M7,-23.2534966642115,-6.1621508221332
Q8NI60,-23.2534966642115,-4.90818876417087
Q9ULC3,-23.2534966642115,-5.18960103206356
Q96C03,-14.7684163081712,-3.50799902802145
Q9UJF2,-23.2534966642115,-4.25784378679228
Q9H999,-3.66597238427455,-0.749153821271501
P21912,-6.32942554616846,-23.2534966642115
Q96EC8,-3.46607913830616,-1.99237043968089
Q9UGL1,-14.327568649926,-5.22210057097009
Q9HCH0,-12.7255760962171,-4.61330014160252
Q9NQC8,-11.9972412215341,-3.15693274400588
Q9Y2X7,-13.1092059045308,-5.98362717246115
O75078,-23.2534966642115,-4.74991011351857
Q8IWU5,-11.1643374788702,-5.31359413644932
Q643R3,-23.2534966642115,-4.47006841376051
P82663,-23.2534966642115,-4.69850586927453
Q9NYY8,-12.792993860059,-6.06781837938154
Q86YD1,-14.348547049054,-6.11543888036699
Q86VP3,-9.31496694797773,-7.28488014362519
Q9BZK7,-11.0386440848,-3.51434087601027
Q8TF61,-23.2534966642115,-5.95874872145939
A6NGN9,-16.9610520743253,-4.64707561004149
Q99848,-23.2534966642115,-5.46509433175159
Q99805,-6.12357395798424,-4.24795944366838
A5PKW4,-13.1823974077712,-1.49854904666206
Q92643,-13.3296180438508,-5.01863073715377
Q7Z6M1,-13.1742465471627,-5.00595464532972
O00468,-16.8697313731941,-5.41653813478338
O95168,-1.578732221885,-2.34699951137462
Q9H0K6,-2.87322983470605,-23.2534966642115
P19388,-23.2534966642115,-6.99506881061186
Q8NFY9,-3.45362977937876,-12.2282895742688
P22694,-10.5866322626294,-4.74336085285576
Q969R8,10.38713532004,1.14098576356375
Q6ZTA4,-14.7813469839334,-5.18369960637484
Q9H1D9,-15.2040348194984,-4.53380624546371
Q6NTF9,-23.2534966642115,-6.4397184517138
Q8WU10,-16.6189695169294,-1.91949226057325
Q7Z460,-23.2534966642115,-6.05305003695556
P55786,-23.2534966642115,-7.49553037198197
P61129,-14.9641939762987,-3.19423510085658
P33316,-23.2534966642115,-5.41115110125164
Q9BXQ6,-13.0758473370488,-5.03909492815089
Q9H9B1,-12.3408312096195,-4.26351450005244
P20338,-4.40346865565929,-4.03399344653739
Q8IWT6,-23.2534966642115,-5.77929203715199
Q96P11,-12.7981596451799,-4.46805612820986
Q96F63,-23.2534966642115,-3.81980047401098
Q8WVX9,-18.3100095572006,-7.36463626614006
Q08211,-23.2534966642115,-7.62883783099676
P62277,-23.2534966642115,-8.42031772620592
Q9BRA2,-23.2534966642115,-6.67732764847206
Q9Y6M5,-12.9010906101982,-4.86132791222758
Q6P1R4,-12.4661177689994,-3.93595864784821
Q86VD7,-2.693408774065,-1.13127350966041
Q00796,-13.100082752412,-8.22628419102918
Q969Y2,-18.1497540807639,-6.53249001579228
Q13555,-23.2534966642115,-7.10922566600636
Q96SB4,-11.5762186078449,-1.61189877519836
P62380,-23.2534966642115,-5.72507002100074
Q9BX10,-23.2534966642115,-2.25927115915111
O95835,-23.2534966642115,-3.11880424582647
Q8WVT3,-15.9023052735328,-7.98828375669895
Q9H792,-1.73450827550203,-9.75045438262911
Q9NSC2,-15.7624082047635,-2.76403997042264
O96028,-9.99917947609996,-2.8552732921553
Q9UIC8,-11.9170109173815,-6.88680189429564
Q9H1Z4,-11.6816389337765,-4.35410086726712
Q16647,-11.3795718787466,-0.0513287716363826
P00568,-23.2534966642115,-5.7806274775392
Q96EV2,-23.2534966642115,-5.99491412525539
Q9Y5A9,-13.4588178462135,-6.09818395131968
O75143,-10.7327697815315,-4.45281109814268
Q9NWZ5,-23.2534966642115,-5.12922610180989
Q96T17,-17.8918047379437,-5.3924879184438
Q9BQ69,-11.2396681408822,-0.942205471681226
Q8N5A5,-11.9546181918817,-4.67808645858322
O60242,-14.2218680103716,-6.22940871963766
Q13085,-23.2534966642115,-7.00339518532872
O60268,-12.5013002502239,-4.5062432647654
Q96FW1,-13.1460259427657,-7.41724153319859
Q96DI7,-11.8105397433342,-6.54654923402513
O96019,-23.2534966642115,-3.79565059286585
Q9NPF5,-11.7149854636938,-4.4115900691195
P18887,-3.35422117993409,-11.8997885119809
P10645,-19.4451072631649,-6.79150061287045
O75044,-6.9082640972265,-5.22150625970431
Q9HC52,-11.607921344754,-4.79998929533217
Q96A11,-12.6578600994772,-2.85624228068615
Q684P5,-12.8838804967211,-6.57885437947185
P12931,-16.1957730757014,-7.20128264665744
O43427,-14.3974486723633,-6.54420139507756
Q96ME1,-10.962156024053,-6.14206197673255
P21953,-13.3791507662819,-3.9206913367667
Q9NX40,-23.2534966642115,-4.27125094689522
Q04837,-8.61330533395445,-6.17262336007825
Q8NCA5,-6.10414888745888,-4.69498712022217
P62166,-11.2696390641398,-6.20061734810671
Q8N2Y8,-14.2712694844426,-3.52634288995831
P08069,-23.2534966642115,-6.10553858639524
Q7Z4K8,-15.061908391206,-4.45977036524992
P47736,-23.2534966642115,-5.46509053066043
Q14202,-17.8933474171348,-5.06659379969657
P40123,-2.99543049395082,-0.34229235679555
Q8IYR6,-6.39740438423362,-3.94973775796546
Q9NR31,-4.58621589187077,-3.99850639839609
Q86V21,-17.3266335443195,-5.54569057036909
Q15102,-13.0551998228114,-6.69968911328706
P50995,-23.2534966642115,-4.65747635354789
O15260,-18.2143740492065,-7.28706372140262
P62244,-6.51342551429678,-23.2534966642115
Q9BQI7,-23.2534966642115,-4.24658250050115
Q9Y580,-13.0720636577737,-4.37536839640353
Q4V328,-12.9413915852555,-6.71427991225401
Q9HCK8,-23.2534966642115,-6.65718709263339
Q86V59,-5.38219836385856,-1.11200657437917
P51687,-4.1502023184041,-2.04897719360679
Q13428,-9.99399261566939,-5.85807045752308
Q6UXP7,-1.01005988908379,1.23248462888739
Q9C0J8,-6.53426216852585,-3.85491151930734
Q13257,-5.88845020756787,-2.65431504777667
Q86TP1,-23.2534966642115,-6.88667059172516
Q8NAV1,-23.2534966642115,-6.12981112284478
Q13610,-12.8492135658948,-4.45967259362506
Q7L5Y9,-10.4878282349203,-0.402043384413217
O75864,-23.2534966642115,-4.23689069148525
P63244,-14.7182661455366,-8.42758956485996
Q9NV31,-23.2534966642115,-4.40445323011082
Q9Y5L0,-11.6130900841966,-7.05722729882083
Q9NXA8,-5.85602287670415,-9.59377863170944
Q9BY67,-23.2534966642115,-5.84632349128561
P36873,-23.2534966642115,-4.71189258072733
Q9UQ16,-13.8717592536868,-7.54656028544273
O15020,-23.2534966642115,-7.13018899509055
Q07866,-12.4962295093584,-7.13556207866872
P19022,-14.448740091442,-8.82293253728795
Q9UKY4,-4.88216606977875,-6.36299513538412
Q9BPZ7,-12.6674214562086,-3.87208914647034
Q5VTB9,-10.5102715791914,-3.11808404303117
P49842,0.0526374080534195,-4.83383211276743
Q6PI48,-4.94305312968874,-9.76194132748857
Q5VWX1,-1.49983228507757,-4.70982604960499
Q15382,-8.96896379548131,-23.2534966642115
O43173,-6.91870436122945,-4.73074938448607
Q9Y5A7,-17.3743896582417,-4.07897048709995
Q9H254,-3.06438414221367,-1.60586158334701
Q96JJ6,-4.18542331190289,-3.191638484765
O43405,-23.2534966642115,-4.44302529331316
Q9BQA1,-23.2534966642115,-7.84237230454427
P22303,-11.2287152620682,-3.68232863464143
Q9GZL7,-23.2534966642115,-0.291378695710084
Q9P286,-23.2534966642115,-5.93877226687634
Q53HC0,-14.1494823824637,-4.66113494629052
Q53EQ6,-4.03988518648607,-13.386278595555
O60869,-8.31920313741755,-4.66443616500799
Q9C0C4,-23.2534966642115,-5.82977255507205
Q9P1Y6,-12.7483389935383,-5.6393242694366
Q9Y285,-23.2534966642115,-6.97817350459872
Q9UPQ9,-6.70921267955479,-5.10948750064328
P58335,-23.2534966642115,-7.68630210823963
Q6X4W1,-13.7125223804284,-3.35959256524847
Q13772,-11.1399523069204,-3.72498743190019
Q9BQP7,-4.28022043007556,-23.2534966642115
Q96QD9,-23.2534966642115,-8.19292625444099
Q8IXH7,-15.4469606668762,-4.84228110629088
Q13686,-23.2534966642115,-5.09156920246565
O15160,-4.32480133951082,-12.9184904073821
Q86VS8,-12.041183285366,-6.48300723670101
Q96EF0,-15.1995519905105,-2.32318201006438
P31937,-17.3872232467477,-5.11539010710684
Q9BTV5,-15.7105295031531,-7.47333057961814
Q9NPZ5,-15.4699712181758,-5.40887837110265
A7MD48,-11.6804157896132,-4.27005529921919
Q6DKJ4,-6.66050590812107,-4.4242682122021
Q92805,-5.14063949192889,-2.58475492749499
Q9Y6G5,-13.4433338178615,-4.77320909969718
O95757,-6.61232976972703,-4.48043229744322
O60296,-5.151345352011,-4.14148169554458
Q8WZ82,-23.2534966642115,-6.19798024352231
Q6IA86,-13.7352960881114,-6.53741408037552
Q9Y4C8,-3.02274720249517,-13.5644199740084
Q8NC69,-3.49810081337235,-1.06960054466502
Q96RU3,-2.91477607645642,-3.68470661825812
Q96RN5,-16.8354999845017,-5.17085535446025
Q9UHC6,-14.5019257533035,-5.49487728676738
Q16762,0.0275214099406679,-1.28521318632739
Q14011,-3.63539885852823,-12.2335568001593
Q9BQE3,-6.41746918606145,-9.55228322665868
Q6P2P2,-5.49679027048188,-23.2534966642115
Q9H175,0.332854773647992,1.8312740489075
Q9HCK4,-13.6245050365309,-5.72280500203888
Q8WUH1,-6.19479129911203,-5.15005131396254
Q5H8A4,-23.2534966642115,-5.5176920980044
Q13009,-14.6136390220957,-6.22052588235473
Q9NVF7,-5.51061831108461,-23.2534966642115
Q8N461,-23.2534966642115,-5.70687561589813
Q02040,-14.0640426468963,-3.95144656960177
Q8NAP3,-13.0013880000524,-1.75101133112364
P49748,-7.79825452241685,-15.0665518711238
Q8N568,-16.6359860543976,-6.40413090853506
Q5T7P8,-23.2534966642115,-5.69379585753417
O95996,-15.2199866797328,-4.73722645205077
P08237,-13.3435264675925,-8.26415986183553
Q8IUC8,-3.85440064104039,-12.1893086122948
Q9UHV7,-6.62406459720896,-23.2534966642115
P78362,-23.2534966642115,-6.35154290963119
Q9Y243,-5.75904434907325,-3.05542596861326
Q9H8M5,-12.4789629707246,-4.41710009287146
Q15599,-14.6914082066927,-5.57812676478278
Q13217,-13.2909997261614,-3.82025906549893
Q9NY72,-4.58078366376279,-2.49277457327484
Q9NQ29,-12.7716934459191,-6.94531715159387
Q8N3Y1,-3.2278743037095,-0.0912150027707833
Q147X3,-23.2534966642115,-4.730610321171
Q9H0S4,-23.2534966642115,-6.17078733724524
Q9NTM9,-11.0449618338854,-6.52289198004003
Q9BWU0,-9.65099182691722,-4.2228772725019
P82650,-13.3837972153331,-6.42926936868876
P14373,-9.96521921990715,-4.40135482592141
P78563,-10.3057302064073,-6.00092499997279
Q9NRC1,-6.34708196405614,-0.611822793561161
A6NNY8,-5.51511221395282,-4.84999600514625
O60347,-1.98606536126646,-0.30088755332596
Q04206,-23.2534966642115,-4.39492783511334
Q9NXN4,-13.3856451036955,-4.66777426589674
O75494,-23.2534966642115,-5.91606987876212
O94829,-5.28283355626633,-3.93425830537079
Q8NBM4,-23.2534966642115,-5.90750512004828
Q9Y383,-8.611990148859,-6.12942833252999
Q8NEY8,-14.4962545324834,-6.02326280721625
Q9NW82,-23.2534966642115,-4.73222588639793
Q13510,-11.1781566299873,-8.48367290653708
Q9NWU1,-23.2534966642115,-5.58035346925807
Q9NXH9,-13.4811351771141,-1.06854490886896
P61247,-23.2534966642115,-7.46626921923259
Q9HCM9,-2.17244373846601,-12.0551348432137
Q8IWV8,-13.2914101583411,-5.1171470363735
Q6ZSZ5,-13.4966285545612,-5.6394247371601
Q9UJD0,-12.9829972229141,-5.76308796275756
Q8NB37,-5.78046812564848,-4.25635817617449
P00387,-23.2534966642115,-5.65953773185947
O75529,-12.229418062265,-3.7589522685919
O95716,-11.9629368240917,-2.7868569207766
Q9BQI5,-23.2534966642115,-5.37127410900793
Q96FJ0,-23.2534966642115,-4.2741488823172
Q14849,-13.1718468597455,-4.20179631538528
Q9NZ94,-15.2678540906093,-6.5202328903938
Q8TF44,-10.86903565762,-3.64429504110957
O95801,-8.37813079538243,-4.84287932058837
O14735,-12.0188480747538,-7.41837061162705
P23443,-6.28477376693697,-4.99839232996572
Q92871,-23.2534966642115,-5.82837070886582
P51512,-4.58404797416972,-23.2534966642115
Q9GZZ9,-12.4936161392301,-3.10447465427165
P27144,-11.9230675812154,-7.41982822025404
Q8WUD1,-23.2534966642115,-6.17780851674857
Q13315,-13.2345732038742,-5.22294739338707
Q8IWT3,-11.5545057775719,-3.58540747263365
Q9Y5V3,-9.81642348242135,-3.37879517444746
P49840,-14.4753819162302,-5.60369505035799
P05060,-14.3861091988793,-5.31735003816571
Q9HDC9,-9.22436444575549,-6.91712627218366
P48029,-12.8508722259937,-4.18020272776681
Q9Y4G8,-16.3471953124969,-5.30879457233721
Q9NRF8,-12.8470512741187,-6.38359065037768
Q9H9Y4,-12.4042840988942,-3.66326411316053
Q9UH73,-4.24892279964039,-2.34237712302816
P63010,-18.935427745037,-8.14698281188178
P61163,-9.8399174325849,-5.80046786481079
Q9NYA4,-12.6327064175045,-3.69441473932221
Q8IXQ4,-3.01382037349998,-23.2534966642115
Q6ZW49,-12.3528504609385,-4.70309231130022
O43505,-23.2534966642115,-4.29866549524583
O75179,-14.6883381628745,-4.93427417282706
Q9H2C0,-23.2534966642115,-6.44255841988849
Q96NI6,-15.0098698011583,-4.94574681949212
O15118,-4.01037148191684,-3.05447838014713
P13798,-13.46358345631,-6.393322812985
Q96BN8,-0.819210500441852,-10.7256361902734
Q02338,1.04873595190669,0.19465901598873
Q9H832,-8.73300716678645,-6.18109517857931
Q8NEZ4,2.77137255546949,-0.0649267361497136
Q32P41,-3.71547949724255,-4.97632472361284
Q86VR8,-17.6309353012947,-4.73517082272007
P27707,-23.2534966642115,-6.05985821820554
Q8WU79,-23.2534966642115,-4.84193937172526
Q4FZB7,-18.0818676323696,-4.97014815136135
O95461,-4.78743562465119,1.37701242366923
Q5EBM0,-0.941924692363982,-2.08588976646795
Q96EP5,-23.2534966642115,-6.580587915234
Q9UBW7,-12.6194055131892,-4.4816233491263
Q15233,-10.9652423079105,-5.35550742396252
P26885,-23.2534966642115,-7.07347961740363
Q9Y282,-23.2534966642115,-4.02318404834719
O75376,-4.19234623427338,-3.22006568376051
Q9H0M0,-5.55453666688542,-2.68000751796446
Q5F1R6,-0.855110804790177,-3.81327302226
Q9H871,-0.678950231601803,0.439255903410199
Q9Y4H2,-5.12391367002377,-4.20816885128682
O95201,-0.845684825335483,0.75014383844239
Q07954,-10.7910765403745,-8.82249444328154
P54646,-14.3056146854046,-6.71828787571491
Q15464,-3.98529734277269,-13.7361041840022
Q9NVN3,-13.5940490913113,-6.02233880441572
P62937,-14.114135087609,-7.34457198329199
Q9UGH3,-12.9331350322815,-4.18423093233196
Q13616,-11.0191745820933,-6.68996365749516
Q86VQ1,-23.2534966642115,-4.37953539680847
P07949,-13.2560139399277,-4.85251661232433
Q9NPB6,-0.780638308289103,-23.2534966642115
Q9Y2L5,-11.0790092484754,-5.68941718505798
Q9NRV9,-16.3177133153067,-6.57918745169566
Q96C86,-23.2534966642115,-8.00515245155411
Q9NY27,-17.6701717342751,-5.18527423119798
P55036,-2.74806047796802,-5.45091749112094
O95502,-6.55726849251314,-5.41831052568054
O43852,-23.2534966642115,-6.19768057674375
Q9NS39,-12.9245054821797,-3.11739332965184
Q9HCG8,-12.9058017174441,-5.36981412579096
Q96AP0,-1.7445112888133,-3.14170541501654
Q8N5U6,-2.82622501479813,-23.2534966642115
Q9H6K5,-14.2939969479852,-5.635713626885
P37108,-23.2534966642115,-4.91189274696973
Q9NRX4,-2.00976751372714,-15.6176584853523
Q8TCD5,-11.4255927768446,-2.51066097534033
P23470,-23.2534966642115,-4.76695327754006
Q9BXJ3,-5.12911660106861,-3.91194938543485
Q5SYC1,-23.2534966642115,-5.52008833511803
Q8N6N2,-6.80176319490054,-4.8470231646309
P04083,-3.18086164229411,-5.88280212926955
Q9NPE3,-1.86605956452767,-2.56613880461497
O75907,-23.2534966642115,-6.73893642177371
O95479,-14.0179511710884,-4.79625148179781
Q9UKT8,-7.20860933099299,-23.2534966642115
Q76G19,-14.0316220463765,-4.85569791690189
Q9Y4F5,-5.60383513425336,-3.36230429258865
Q9UKZ1,-3.70238576695208,-3.15852078543024
O60245,-12.5396761080031,-4.79580044324641
P20618,-14.0953327456424,-7.7184333923122
Q9BT88,-23.2534966642115,-6.65626801515304
Q7L592,-2.49322216313384,-12.21557635166
Q9H7D7,-14.4830332633366,-5.03803842420563
P37235,-14.0247603364936,-6.59194497473546
Q6SPF0,-23.2534966642115,-1.35803854826809
Q8NFG4,-13.3924528381437,-4.71024679841306
Q9ULJ6,-5.15204276706891,-2.99017362838405
P18084,-11.6891892022132,-1.02657468057548
P25686,-11.4092289001908,-6.03566313792519
Q5GH76,-13.2873862944333,-5.06861524140009
P48426,-7.66952132823372,-5.72204808031991
Q9H706,-23.2534966642115,-5.62768107240647
P56945,-10.5409780889263,-4.58092614518982
Q7L3B6,-14.1064125550462,-2.27980691473285
Q16720,-12.2177663979885,-6.84114883198692
P35790,-17.9962903637173,-4.91685187551247
Q68DH5,-5.1237989413952,-15.4640634254102
Q9H7Z7,-4.86238231032127,-7.47903953922195
Q86XZ4,-4.06643178132089,-2.63260610183268
O15013,-13.1460175947748,-5.52182240681248
Q6JQN1,-13.3591592479149,-4.39477461066244
P06730,-12.7227993955273,-7.5980218280699
Q8IUQ0,-5.19193285113495,-3.47035476759503
Q9NZC7,-2.81499074267977,-1.80511741564265
Q9NVG8,-13.713511319905,-5.33876986327792
Q7Z6J6,-23.2534966642115,-5.40268355647377
P29372,-23.2534966642115,-5.51896315100825
Q14686,-2.04554162771143,-0.875506078573954
Q14781,-13.1315077534089,-4.97236289247226
Q8TDN6,-5.27912538707567,-3.46360577464157
P38117,-23.2534966642115,-8.34746723574234
O75334,-11.9140424426536,-6.18349159404505
Q13557,-2.68981173500491,-3.74728814497697
O94812,-23.2534966642115,-4.36983425962686
Q8NFP9,-10.6484497437054,-5.28389327899382
Q96Q11,-7.68718695931721,-23.2534966642115
Q9UNI6,-7.60991331254492,-5.94573149577814
O14562,-13.4329963329032,-7.53466026960549
P00367,-9.95218766028245,-7.18216491919189
Q9Y608,-13.9879207856518,-5.41806114083716
O14727,-11.3950888870768,-3.83629374719245
O43813,-12.1690078160295,-7.86504803265243
A2AJT9,-17.1919621300615,-5.22681676852474
P83916,-3.3623089511311,-3.05182747013457
P07093,-2.34894514145008,-23.2534966642115
Q8WZA0,-10.9849709849109,-3.9642260786522
Q9GZT4,-6.59063222080571,-11.1912529946002
Q9NX95,-13.8567397881404,-3.36665802180622
O75190,-23.2534966642115,-5.35443901060694
Q8N4T8,-14.975519547297,-4.22378204873195
Q86UE8,-12.2835815313791,-3.99286144182812
Q00013,-14.7925005326965,-1.8008962588854
Q8IZQ1,-14.039392800552,-7.27277747728463
Q96I34,-13.59965796462,-4.6709464396243
Q86UU1,-12.6955009600095,-5.07005204964673
Q04726,-3.40673770417371,-4.88738675058346
Q75T13,-13.4343663040599,-6.43429547672009
P07203,-5.69165370588904,-3.68349798445106
Q9Y259,-3.27975536170914,-0.998059415589118
O60684,-23.2534966642115,-5.19586712998992
Q06787,-23.2534966642115,-5.40190362101118
Q6V1X1,-3.51790179818266,-23.2534966642115
Q9UBB5,-13.1186675995437,-4.12613806199653
P02794,-6.44949657697036,-3.41340775352976
O43865,-13.7532197311473,-4.44553816347766
Q15363,-5.94969965776259,-14.3500947516409
P30519,-11.02081825397,-5.71215324609074
Q9UEE9,-12.0074583180604,-6.94006499121699
Q02750,-11.2257678610407,-1.12301086131285
Q9UIV1,-23.2534966642115,-7.30637438761195
Q15286,-11.3416693796803,-6.42539571666318
Q9UQF2,-23.2534966642115,-4.2213851674914
Q5T011,-5.20556774835592,-3.15796923646075
Q5T2E6,-12.8752530488005,-6.44253214937347
Q9NRZ5,-10.9782946128754,-8.95961921344432
Q9UPN6,-8.99966399332976,-5.39922466368733
P45984,-6.27535634003519,-10.4028284428025
Q9ULV4,-23.2534966642115,-8.4330892437972
Q14241,-12.4717807914171,-3.79862335864232
Q9BVL2,-9.02750411120599,-6.67835234848515
Q5VU43,-13.3664676595746,-5.53295973411052
Q9UH77,-4.54963761494164,-1.69437304460133
Q86XP3,-11.9674604346019,-5.66118670081192
Q9NV96,-15.2426258380872,-8.51034495395813
P22307,-14.5195703640084,-5.794565713825
P51452,-13.7313735607132,-5.63517504747717
P52429,-9.92846806470698,-5.88986481692163
Q9H6E4,-4.16824969328256,-23.2534966642115
Q12974,-13.1020055510341,-5.24856447394762
O95989,-23.2534966642115,-5.44406342230047
Q5T5Y3,-15.8645319133022,-5.89405375102998
P14649,-14.9398837249159,-7.87936529972847
P20340,-14.7933715489647,-5.37768164060326
P50583,-6.47185861116808,-15.2907435826585
Q9NZ63,-14.9204643475276,-5.20280277051906
Q96T58,-13.3637968031905,-5.37543194887813
P82933,-8.16566558733879,-5.30414510206359
Q9UKW4,-16.473955022932,-7.73446127540997
Q9BXW6,-9.55000073278667,-4.88064953117768
P09471,-12.4871006704956,-8.35293308335734
Q9UBB4,-23.2534966642115,-6.07981477479801
Q86UU0,-14.5205901646497,-5.05547210624062
O43395,-8.83174595353215,-11.44892019579
O60828,-6.22770671230051,-3.99283249322183
Q9Y5M8,-23.2534966642115,-7.70337712391314
P09429,-5.81702896172293,-2.81963514430505
P15311,-23.2534966642115,-7.58313388830239
Q9GZT3,-6.819083790795,-4.76928317749914
O95758,-5.67528619535011,-4.47940382517586
P23368,-8.93472746445248,-12.9271854839672
P19634,-23.2534966642115,-4.63903915490141
Q9BSD7,-23.2534966642115,-6.67044475585752
P82930,-23.2534966642115,-6.4495068569943
Q9BUH6,-3.9141541900613,-4.42364960408638
Q8IUW3,-0.208328464964559,-2.85380433831299
O76039,-2.20753327391506,-3.32594978769751
P51532,-16.2011375722409,-5.80084131791111
Q13190,-7.75300723771,-5.31767611125758
O43488,-8.27586250263971,-6.56109132171292
Q02809,-13.1528353500669,-4.89120514504743
Q8WZA1,-3.75093352322148,-2.85585948436257
P82094,-23.2534966642115,-3.48026672014066
Q6P1Q0,-16.9806480329244,-7.50816456871688
Q9BZM4,-13.741921362703,-4.7337688824416
Q8N163,-12.569436052642,-6.51406438322492
Q9BV44,-23.2534966642115,-5.49332810670852
O95340,-12.0705844953202,-3.37582990348332
Q9Y570,-10.8886586827192,-8.17209733362844
Q9BT09,-5.94995767697762,-3.75501447121351
Q16512,-7.59212600280544,-2.35463957176302
P41208,-23.2534966642115,-6.57711346131585
P49902,-11.6212834391834,-8.09026479438293
Q14669,-23.2534966642115,-5.25363291053082
Q9NYH9,-6.3946955676792,-23.2534966642115
Q96SN8,-2.65097013789027,-0.20123950418598
Q9UK97,-3.08732714323545,-14.8721287265691
P78356,-12.8438293044022,-8.32179744049191
Q9BV35,-1.89435863213275,-2.66330321003828
Q6NUQ1,-23.2534966642115,-5.77582707574931
Q16538,-13.2196374333525,-4.47486697608949
Q14249,-13.7492882857386,-6.19639996583058
Q15006,-13.1455687823,-2.10485284809144
Q9GZR7,-12.4849915128807,-5.06880986692911
Q5VWQ0,-5.45610427080114,-4.15503736864843
Q53EL6,-20.4469815413718,-4.63159354754901
Q9UKY1,-0.83500923479609,-23.2534966642115
P36894,-23.2534966642115,-5.90218561493734
Q9H1P3,-11.7894684647521,-6.21061560735532
Q9UQB3,-11.4989432389493,-5.50178266449185
Q86WG3,-23.2534966642115,-7.32141415883511
Q9UQB8,-23.2534966642115,-5.45177179374889
Q9UGI6,5.67230093263816,4.89422567591894
Q9Y2J0,-4.03313803495874,-2.35950698876706
Q6NXR4,-1.38772418108785,-14.357392330366
Q9H000,-3.9666454989948,-11.517797370784
Q8N5Y2,-13.4846897605999,-6.46402139247408
P15586,-23.2534966642115,-6.62902046484751
P78345,0.817316170458056,-11.1631063084807
Q9UKC9,-23.2534966642115,-5.54930017397759
Q86UY6,-12.8471383937314,-6.86558482345712
Q9H2Y7,-11.5427529588229,-0.135733630844937
Q9Y6M1,-8.45707699436649,-6.72831022709131
P55345,-6.7001906498958,-13.4854092616198
Q5VT25,-14.0979787873375,-6.35085866915192
Q9NRL3,-23.2534966642115,-6.54841646193025
Q29RF7,-5.24524278136472,-4.01877811666738
Q5BJH7,-15.8253572512008,-5.06483498637278
Q75VX8,-13.4848045980409,-6.63399799942249
Q9GZS1,-13.1086919543668,-2.07906736459796
P42574,-8.89992877726265,-14.3746115733577
O00748,-0.534792025990613,-1.2787108214151
Q6PCB5,-6.71406414207415,-23.2534966642115
A2RRP1,-12.7339284055092,-6.37419570709884
P85037,-12.5261845181148,-3.36010181663135
Q6H8Q1,-17.3039473565218,-7.1750502789531
Q13796,-9.58015450277665,-0.0511332196931315
Q9BPX7,-1.71132760899252,-3.76830520045136
P37287,-11.5363726028112,-3.34898836186313
Q9BUL5,-12.3950610518124,-4.13221003522922
Q9BZF1,-23.2534966642115,-7.01746618378709
P42695,-2.95172566234421,-1.56004663387677
Q96Q07,-4.24097893549707,-3.42007889727141
Q8IUI8,-4.84515217060204,-23.2534966642115
Q8IZU2,-2.21766285791813,0.665197379494688
P26006,-2.53255144020175,-1.86747550184091
O15270,-23.2534966642115,-5.86338688164053
Q9UNP9,-23.2534966642115,-7.16864848327294
Q15800,-23.2534966642115,-8.89258205279015
Q8TAA9,-4.00216466621609,-4.62360053832518
Q13438,-5.03119154141179,-5.45935340209044
Q5JTV8,-6.15219666332094,-10.7529259266566
P52799,-7.17746158553419,-2.93692694278916
Q8N556,-3.3439788064259,-3.73942320470696
