PG.ProteinGroups,PG.Genes
O95782,AP2A1
Q76KP1,B4GALNT4
O14733,MAP2K7
Q96P70,IPO9
Q9BWH6,RPAP1
P61966,AP1S1
Q14563,SEMA3A
P17858,PFKL
P60763,RAC3
O00750,PIK3C2B
O75051,PLXNA2
Q2TAY7,SMU1
Q8N608,DPP10
P08670,VIM
Q8IZ81,ELMOD2
Q9BW91,NUDT9
O75746,SLC25A12
P62760,VSNL1
Q9NRX4,PHPT1
Q08828,ADCY1
Q14202,ZMYM3
P10768,ESD
Q9UH99,SUN2
Q9NVT9,ARMC1
Q9C0B9,ZCCHC2
Q96S21,RAB40C
Q8N961,ABTB2
P35080,PFN2
Q16774,GUK1
Q9NRG7,SDR39U1
Q99873,PRMT1
O15068,MCF2L
Q5T0N5,FNBP1L
P27707,DCK
Q7Z3C6,ATG9A
Q9BRU9,UTP23
Q16706,MAN2A1
O95258,SLC25A14
Q9NR22,PRMT8
Q96KA5,CLPTM1L
P35232,PHB
Q9NZ63,C9orf78
P06241,FYN
O43432,EIF4G3
Q8N6H7,ARFGAP2
O75912,DGKI
P42694,HELZ
Q92581,SLC9A6
P98175,RBM10
O94876,TMCC1
Q6ZN04,MEX3B
Q9C0E8,LNPK
O76031,CLPX
Q9BYM8,RBCK1
Q9GZT4,SRR
Q504Y2,PKDCC
P20336,RAB3A
Q9UK59,DBR1
P30044,PRDX5
Q9NQZ5,STARD7
Q9P2G1,ANKIB1
Q96KG9,SCYL1
O15523,DDX3Y
O75347,TBCA
Q6UN15,FIP1L1
Q9P244,LRFN1
Q8N8L6,ARL10
Q9Y2G5,POFUT2
Q64LD2,WDR25
Q15120,PDK3
Q9Y371,SH3GLB1
Q96ME7,ZNF512
Q9H4I3,TRABD
P53680,AP2S1
Q96JQ0,DCHS1
Q9H553,ALG2
Q86TJ2,TADA2B
O60293,ZFC3H1
O95870,ABHD16A
Q9BQT9,CLSTN3
Q9BYI3,FAM126A
Q14974,KPNB1
Q96P11,NSUN5
Q96PY6,NEK1
P56377,AP1S2
Q9NT99,LRRC4B
O15164,TRIM24
O75369,FLNB
Q92993,KAT5
O95025,SEMA3D
Q8NCB2,CAMKV
P13647,KRT5
Q8IZ52,CHPF
P45954,ACADSB
Q93075,TATDN2
Q8NEY8,PPHLN1
Q5JPI3,C3orf38
P49903,SEPHS1
Q96T21,SECISBP2
Q9C0I3,CCSER1
P36894,BMPR1A
Q9NZ94,NLGN3
Q8N335,GPD1L
Q9BXR0,QTRT1
P62314,SNRPD1
P62826,RAN
Q15418,RPS6KA1
P21796,VDAC1
Q9ULJ7,ANKRD50
Q9P2K2,TXNDC16
P49411,TUFM
Q08495,DMTN
O75390,CS
O14939,PLD2
P39880,CUX1
Q9NRD5,PICK1
P58005,SESN3
Q13627,DYRK1A
O15258,RER1
Q969Q5,RAB24
P09001,MRPL3
Q96I59,NARS2
Q9Y4D8,HECTD4
Q13724,MOGS
P53794,SLC5A3
Q6VAB6,KSR2
Q9NS86,LANCL2
Q71RC2,LARP4
Q5TKA1,LIN9
Q9UQ35,SRRM2
Q6ZMI0,PPP1R21
Q7Z6J6,FRMD5
Q6TFL4,KLHL24
Q92845,KIFAP3
P12955,PEPD
Q6PCB5,RSBN1L
Q14687,GSE1
Q13454,TUSC3
Q9UKB1,FBXW11
P51693,APLP1
Q96II8,LRCH3
Q9BW71,HIRIP3
O94991,SLITRK5
Q14BN4,SLMAP
Q9Y6D6,ARFGEF1
Q8IUI8,CRLF3
Q92569,PIK3R3
Q9C0C4,SEMA4C
Q9H270,VPS11
Q9ULI4,KIF26A
Q8N806,UBR7
Q9Y4B4,RAD54L2
Q08752,PPID
Q9H9J4,USP42
Q15059,BRD3
Q8WUH1,CHURC1
Q13889,GTF2H3
Q6PCE3,PGM2L1
O75695,RP2
P62899,RPL31
Q13686,ALKBH1
Q6P1M3,LLGL2
Q9UJA5,TRMT6
Q9BXW6,OSBPL1A
Q9BQ89,FAM110A
Q6VMQ6,ATF7IP
Q14011,CIRBP
O95897,OLFM2
Q9Y216,MTMR7
P11177,PDHB
A4D161,FAM221A
Q9NR80,ARHGEF4
P78406,RAE1
Q8TC12,RDH11
P57088,TMEM33
O43301,HSPA12A
Q5T6C5,ATXN7L2
Q9H0D6,XRN2
Q99758,ABCA3
P57771,RGS8
Q9P2K6,KLHL42
Q96CT2,KLHL29
Q9HAK2,EBF2
Q8NFP9,NBEA
O60858,TRIM13
Q96G61,NUDT11
P83876,TXNL4A
Q8IXV7,KLHDC8B
Q8N8R5,C2orf69
P23193,TCEA1
Q8TAD8,SNIP1
P43681,CHRNA4
P20936,RASA1
Q8N983,MRPL43
Q8N8D1,PDCD7
Q6N022,TENM4
O15173,PGRMC2
P26358,DNMT1
Q9Y597,KCTD3
Q9HA77,CARS2
P63215,GNG3
Q9H6A9,PCNX3
Q96DV4,MRPL38
Q96JN0,LCOR
P23396,RPS3
Q86YV9,HPS6
O75752,B3GALNT1
P50579,METAP2
Q9Y4D2,DAGLA
O94880,PHF14
Q8N5S9,CAMKK1
P82663,MRPS25
Q8WWI5,SLC44A1
Q9BXB4,OSBPL11
Q16647,PTGIS
Q99426,TBCB
P20340,RAB6A
Q86UB2,BIVM
Q9Y3B3,TMED7
O94868,FCHSD2
O75937,DNAJC8
Q9BSF8,BTBD10
Q96BD5,PHF21A
P12956,XRCC6
Q96F07,CYFIP2
Q15768,EFNB3
Q9Y266,NUDC
Q96MZ0,GDAP1L1
Q5VTR2,RNF20
Q9H2W6,MRPL46
Q6ZXV5,TMTC3
P51808,DYNLT3
Q9ULC3,RAB23
Q96A33,CCDC47
Q9Y2V2,CARHSP1
Q8WUU5,GATAD1
Q12972,PPP1R8
Q9H6L2,TMEM231
Q9H7D0,DOCK5
Q8NCC3,PLA2G15
Q96P16,RPRD1A
Q9UFC0,LRWD1
Q5VU43,PDE4DIP
O75553,DAB1
O76071,CIAO1
P14416,DRD2
Q2TAP0,GOLGA7B
O43581,SYT7
Q9NVX2,NLE1
Q5VWQ0,RSBN1
Q5VUA4,ZNF318
Q15022,SUZ12
Q96EV2,RBM33
Q6ZSJ8,C1orf122
Q92558,WASF1
Q96S52,PIGS
Q8IYR6,TMEFF1
Q86X76,NIT1
O15118,NPC1
Q9UPP1,PHF8
Q16670,ZSCAN26
Q9BTN0,LRFN3
Q9H3S5,PIGM
Q8TDY2,RB1CC1
Q5M775,SPECC1
Q9Y285,FARSA
Q9NUL3,STAU2
Q6NXT6,TAPT1
Q8IXK0,PHC2
Q9H0C8,ILKAP
Q14694,USP10
H3BS89,TMEM178B
Q01105,SET
P49023,PXN
Q9Y383,LUC7L2
Q6P995,FAM171B
Q9UPQ9,TNRC6B
Q96MU7,YTHDC1
Q9P107,GMIP
Q96BT7,ALKBH8
P04083,ANXA1
Q8IWB1,ITPRIP
Q9NQ88,TIGAR
Q9UQF2,MAPK8IP1
Q86V21,AACS
P49917,LIG4
Q5VW32,BROX
P62310,LSM3
Q6ZRP7,QSOX2
O15530,PDPK1
Q6ZVC0,NYAP1
P53671,LIMK2
P00403,MT-CO2
Q96B36,AKT1S1
Q8NES3,LFNG
P45984,MAPK9
Q5JRA6,MIA3
O60921,HUS1
P35249,RFC4
P17844,DDX5
O00522,KRIT1
Q9H7B4,SMYD3
P51692,STAT5B
Q16288,NTRK3
Q92185,ST8SIA1
Q9BWF3,RBM4
Q9UJ41,RABGEF1
O94889,KLHL18
Q9BVL2,NUP58
P35908,KRT2
Q9Y478,PRKAB1
O43347,MSI1
Q9P287,BCCIP
P01112,HRAS
Q04206,RELA
Q86UL8,MAGI2
O95180,CACNA1H
Q9Y496,KIF3A
Q8IZQ1,WDFY3
O15541,RNF113A
Q9UKF6,CPSF3
P59768,GNG2
Q9UPY6,WASF3
Q86VV8,RTTN
Q92791,P3H4
P46527,CDKN1B
Q9ULW6,NAP1L2
A6NGN9,IGLON5
O15498,YKT6
Q9H1A3,METTL9
Q8IYB7,DIS3L2
Q9NX95,SYBU
Q13491,GPM6B
P30533,LRPAP1
O43920,NDUFS5
Q9HDC9,APMAP
Q7Z3T8,ZFYVE16
Q9BV20,MRI1
Q06481,APLP2
O00411,POLRMT
O75425,MOSPD3
Q7Z6M1,RABEPK
Q8NFJ6,PROKR2
Q14865,ARID5B
Q8N556,AFAP1
P61129,ZC3H6
Q9UK39,NOCT
Q96B18,DACT3
Q86UA1,PRPF39
P56945,BCAR1
Q06418,TYRO3
Q8IXQ5,KLHL7
P13611,VCAN
O43708,GSTZ1
Q9Y2U8,LEMD3
Q86XR8,CEP57
Q68CP4,HGSNAT
Q9NR31,SAR1A
P06732,CKM
O14628,ZNF195
P54652,HSPA2
Q9Y490,TLN1
Q8NC69,KCTD6
P18669,PGAM1
Q9Y333,LSM2
Q9BU76,MMTAG2
Q9NUY8,TBC1D23
Q9H0X9,OSBPL5
P05026,ATP1B1
Q9Y4W2,LAS1L
O75027,ABCB7
Q9H4K7,MTG2
Q9UKT8,FBXW2
Q9NR28,DIABLO
Q9Y5F9,PCDHGB6
Q9H461,FZD8
P55201,BRPF1
Q8IX30,SCUBE3
O75400,PRPF40A
Q9P2G3,KLHL14
P51665,PSMD7
P03915,MT-ND5
Q13642,FHL1
Q9H7X3,ZNF696
Q5VWX1,KHDRBS2
P52272,HNRNPM
Q92841,DDX17
Q13472,TOP3A
Q9H165,BCL11A
Q08379,GOLGA2
Q99496,RNF2
O43488,AKR7A2
Q8IYB8,SUPV3L1
Q9UHP3,USP25
Q15048,LRRC14
Q02153,GUCY1B1
Q96PV6,LENG8
Q9C0D7,ZC3H12C
O95461,LARGE1
Q9UPP2,IQSEC3
O95573,ACSL3
Q9Y5H9,PCDHA2
Q8WU20,FRS2
Q7Z460,CLASP1
Q15084,PDIA6
O00213,APBB1
O43189,PHF1
Q96LR5,UBE2E2
P35813,PPM1A
Q96PK6,RBM14
P13987,CD59
Q96ME1,FBXL18
Q8NHM5,KDM2B
Q16540,MRPL23
Q9Y277,VDAC3
O95900,TRUB2
Q9UMY4,SNX12
O14492,SH2B2
Q96EK9,KTI12
P62701,RPS4X
P16989,YBX3
P50897,PPT1
Q9C0I4,THSD7B
O15347,HMGB3
Q6DN90,IQSEC1
Q13438,OS9
Q86WG3,ATCAY
Q8ND82,ZNF280C
Q14195,DPYSL3
Q9NYA4,MTMR4
Q9Y4K0,LOXL2
P08138,NGFR
P62140,PPP1CB
Q9BWJ5,SF3B5
Q9UPN9,TRIM33
Q9NYB9,ABI2
Q00973,B4GALNT1
Q13057,COASY
Q9H999,PANK3
Q9GZM8,NDEL1
P62253,UBE2G1
O14576,DYNC1I1
Q9UGJ1,TUBGCP4
Q7L4I2,RSRC2
Q9Y3A4,RRP7A
Q6ZV73,FGD6
Q96AE7,TTC17
P18031,PTPN1
P05783,KRT18
Q92560,BAP1
Q96E11,MRRF
Q9Y2U9,KLHDC2
P52788,SMS
Q676U5,ATG16L1
Q6NUJ5,PWWP2B
P23919,DTYMK
Q9H0K6,PUS7L
P51532,SMARCA4
Q8IWZ8,SUGP1
Q6IAA8,LAMTOR1
Q15102,PAFAH1B3
A5PKW4,PSD
P62081,RPS7
Q8TDC3,BRSK1
O00273,DFFA
Q9BQP7,MGME1
Q9P2K5,MYEF2
O43747,AP1G1
Q9H6R0,DHX33
Q96L08,SUSD3
P35606,COPB2
Q99832,CCT7
P49758,RGS6
P17706,PTPN2
Q8N9V3,WDSUB1
P53004,BLVRA
Q9P2D6,FAM135A
P0CW24,PNMA6A
P40937,RFC5
P26378,ELAVL4
Q96IQ9,ZNF414
Q969H6,POP5
Q5VV42,CDKAL1
P25705,ATP5F1A
Q14103,HNRNPD
Q4G148,GXYLT1
P37108,SRP14
P61266,STX1B
O60271,SPAG9
Q06787,FMR1
O14497,ARID1A
Q9HCM4,EPB41L5
P36269,GGT5
O43813,LANCL1
O95405,ZFYVE9
P16298,PPP3CB
P08237,PFKM
Q96HA1,POM121
Q14165,MLEC
P51809,VAMP7
A2A3K4,PTPDC1
Q9H832,UBE2Z
Q8NDQ6,ZNF540
O43929,ORC4
Q9Y6H5,SNCAIP
O60422,ONECUT3
Q9Y2S2,CRYL1
P54727,RAD23B
Q9Y3Q4,HCN4
Q9UG56,PISD
Q12888,TP53BP1
Q9H0U9,TSPYL1
Q14416,GRM2
Q8WUD1,RAB2B
Q96C03,MIEF2
P49327,FASN
Q5TEA3,C20orf194
Q07065,CKAP4
Q12899,TRIM26
Q7Z6L1,TECPR1
Q9NXG6,P4HTM
Q10471,GALNT2
Q96G21,IMP4
Q96Q07,BTBD9
P31937,HIBADH
Q9NRZ9,HELLS
O60346,PHLPP1
P50583,NUDT2
Q13522,PPP1R1A
Q969X6,UTP4
Q9NW13,RBM28
P22314,UBA1
P50053,KHK
Q2M3C7,SPHKAP
Q9BUN8,DERL1
Q9Y693,LHFPL6
P55011,SLC12A2
P40222,TXLNA
P49750,YLPM1
Q6PK18,OGFOD3
Q6ZVL6,KIAA1549L
Q9NTN9,SEMA4G
Q9NW61,PLEKHJ1
P61160,ACTR2
P49821,NDUFV1
Q92953,KCNB2
Q9H6W3,RIOX1
Q9ULR3,PPM1H
O43829,ZBTB14
Q96DA2,RAB39B
Q86SZ2,TRAPPC6B
Q6P1M9,ARMCX5
Q96CS4,ZNF689
Q16762,TST
Q6UB35,MTHFD1L
Q9Y3D7,PAM16
C9J069,AJM1
Q8N4S7,PAQR4
Q9ULX6,AKAP8L
P61018,RAB4B
Q8WXF1,PSPC1
Q9UBU8,MORF4L1
Q9BU23,LMF2
P35659,DEK
P31150,GDI1
Q969Z4,RELT
P11234,RALB
P35790,CHKA
Q99707,MTR
Q6SPF0,SAMD1
P61247,RPS3A
P31483,TIA1
O75061,DNAJC6
Q9NPE2,NGRN
Q8TAP6,CEP76
Q9NXC2,GFOD1
P04632,CAPNS1
Q16875,PFKFB3
Q9Y6Q3,ZFP37
Q96T23,RSF1
Q66K14,TBC1D9B
Q8NBJ9,SIDT2
O75170,PPP6R2
Q86XN8,MEX3D
Q14108,SCARB2
P08133,ANXA6
P19784,CSNK2A2
P16383,GCFC2
Q5T5U3,ARHGAP21
P50213,IDH3A
Q9UKV3,ACIN1
Q8TBZ6,TRMT10A
O60264,SMARCA5
Q16881,TXNRD1
P07197,NEFM
P40925,MDH1
Q8TB45,DEPTOR
Q86YW9,MED12L
Q13257,MAD2L1
Q96GM5,SMARCD1
P28288,ABCD3
Q9NRH2,SNRK
Q9P2I0,CPSF2
Q86VR2,RETREG3
O95926,SYF2
Q58WW2,DCAF6
O14775,GNB5
Q9UK97,FBXO9
Q9NY72,SCN3B
Q3KQV9,UAP1L1
Q9BQT8,SLC25A21
Q14980,NUMA1
Q8IU81,IRF2BP1
Q9H213,MAGEH1
Q5VV63,ATRNL1
P63151,PPP2R2A
Q9UIV1,CNOT7
P59998,ARPC4
P16389,KCNA2
Q8TEY7,USP33
Q9Y5X2,SNX8
A0PK00,TMEM120B
Q12797,ASPH
Q7Z5L9,IRF2BP2
P08247,SYP
O43823,AKAP8
Q9UK80,USP21
Q5T9A4,ATAD3B
Q8IZ07,ANKRD13A
Q9UKY1,ZHX1
Q15020,SART3
Q8WW01,TSEN15
P78344,EIF4G2
Q9H9V9,JMJD4
P51946,CCNH
Q8WZ19,KCTD13
Q9H1K1,ISCU
Q86UN2,RTN4RL1
Q12872,SFSWAP
P55345,PRMT2
Q9UPY3,DICER1
Q9NXW9,ALKBH4
Q9P2G9,KLHL8
Q8TB22,SPATA20
Q6P1M0,SLC27A4
Q15572,TAF1C
Q8N6W0,CELF5
Q8IZN3,ZDHHC14
P11233,RALA
Q86XS8,RNF130
Q13009,TIAM1
O76024,WFS1
Q15032,R3HDM1
Q7Z5J4,RAI1
P11117,ACP2
P54578,USP14
P67936,TPM4
Q9HAH7,FBRS
Q9Y5E4,PCDHB5
Q6NT76,HMBOX1
O00507,USP9Y
Q6Y7W6,GIGYF2
O43597,SPRY2
Q92526,CCT6B
Q9Y3T9,NOC2L
Q13263,TRIM28
Q58EX2,SDK2
Q8IZL8,PELP1
Q7Z739,YTHDF3
P55957,BID
Q13155,AIMP2
P05129,PRKCG
Q8TEQ6,GEMIN5
O00560,SDCBP
Q96EK2,PHF21B
Q9Y618,NCOR2
P52803,EFNA5
Q8NFH3,NUP43
Q96T58,SPEN
P63098,PPP3R1
P67812,SEC11A
Q8NBI6,XXYLT1
P51511,MMP15
Q9NXH9,TRMT1
Q8NB50,ZFP62
Q9UGR2,ZC3H7B
Q6P4R8,NFRKB
Q7Z4H7,HAUS6
Q9ULK4,MED23
P57678,GEMIN4
Q96MG7,NSMCE3
Q4VC31,CCDC58
Q8TCT0,CERK
O95759,TBC1D8
P78362,SRPK2
O60678,PRMT3
Q05209,PTPN12
O95602,POLR1A
Q3ZCQ8,TIMM50
Q9BUR4,WRAP53
Q14CM0,FRMPD4
Q8TDN6,BRIX1
Q96NW7,LRRC7
O00471,EXOC5
Q99623,PHB2
Q9BR01,SULT4A1
A0AVF1,TTC26
Q8WYQ9,ZCCHC14
Q9BUN5,CCDC28B
O14640,DVL1
Q8IY17,PNPLA6
Q99996,AKAP9
Q8IWT0,ZBTB8OS
P98179,RBM3
Q15393,SF3B3
P98170,XIAP
Q92610,ZNF592
O00203,AP3B1
Q9P0I2,EMC3
Q9BSJ8,ESYT1
Q9P2Y5,UVRAG
Q8NC56,LEMD2
P00966,ASS1
Q92621,NUP205
P62316,SNRPD2
Q7Z3G6,PRICKLE2
Q99714,HSD17B10
Q86V48,LUZP1
O14682,ENC1
Q9NY59,SMPD3
Q8NBJ4,GOLM1
Q9BW62,KATNAL1
Q14558,PRPSAP1
Q14587,ZNF268
Q9NQ29,LUC7L
P40692,MLH1
Q6KCM7,SLC25A25
P18850,ATF6
Q8NFA0,USP32
Q9Y2Q0,ATP8A1
P23378,GLDC
O60832,DKC1
Q9P2J3,KLHL9
Q86X83,COMMD2
P08754,GNAI3
Q8N6T7,SIRT6
Q13243,SRSF5
Q9HCK4,ROBO2
Q99653,CHP1
P32297,CHRNA3
O94992,HEXIM1
Q9BU61,NDUFAF3
O14526,FCHO1
O60684,KPNA6
Q96GS4,BORCS6
Q86YD1,PTOV1
A5YKK6,CNOT1
Q86UT6,NLRX1
Q01064,PDE1B
Q99608,NDN
Q96CU9,FOXRED1
P50607,TUB
Q6U841,SLC4A10
Q8TD30,GPT2
Q96BY9,SARAF
Q96NW4,ANKRD27
Q7Z6I8,C5orf24
O94923,GLCE
Q96QR8,PURB
Q13685,AAMP
O75427,LRCH4
Q7LBC6,KDM3B
Q8WXG6,MADD
P37268,FDFT1
Q96L58,B3GALT6
Q9BPX7,C7orf25
Q10469,MGAT2
Q96F85,CNRIP1
Q9BUH8,BEGAIN
P41208,CETN2
Q9C040,TRIM2
Q9NVQ4,FAIM
Q8N350,CBARP
Q13636,RAB31
Q9NVX7,KBTBD4
O75081,CBFA2T3
O95260,ATE1
Q9NYJ7,DLL3
P17041,ZNF32
Q8IUQ0,CLVS1
Q9NRZ5,AGPAT4
Q7Z7H5,TMED4
Q9H0R1,AP5M1
Q03188,CENPC
Q5VST9,OBSCN
O75153,CLUH
P23528,CFL1
Q8N5F7,NKAP
Q66LE6,PPP2R2D
Q9P035,HACD3
O15021,MAST4
O75592,MYCBP2
P15259,PGAM2
P18074,ERCC2
Q13445,TMED1
Q9Y6E0,STK24
Q6ZSZ5,ARHGEF18
Q14677,CLINT1
P57081,WDR4
Q99747,NAPG
Q9BXJ3,C1QTNF4
Q155Q3,DIXDC1
P06213,INSR
Q13586,STIM1
Q6N069,NAA16
Q969E8,TSR2
P50995,ANXA11
Q2KHR3,QSER1
Q9Y3R0,GRIP1
P62280,RPS11
O95502,NPTXR
Q6IA86,ELP2
Q9H8Y5,ANKZF1
Q9UKR5,ERG28
O95402,MED26
P51812,RPS6KA3
Q9BYN8,MRPS26
Q05469,LIPE
Q8IWI9,MGA
O00329,PIK3CD
P07093,SERPINE2
Q9H425,C1orf198
P57723,PCBP4
Q5F1R6,DNAJC21
Q9HB20,PLEKHA3
Q49AM1,MTERF2
P04179,SOD2
Q96AG3,SLC25A46
Q9UHL9,GTF2IRD1
P52799,EFNB2
Q96NL0,RUNDC3B
Q7L311,ARMCX2
Q9Y243,AKT3
P12931,SRC
Q13952,NFYC
Q969Z0,TBRG4
Q9UQB8,BAIAP2
Q16281,CNGA3
Q9UBP0,SPAST
Q9Y295,DRG1
P68104,EEF1A1
Q9UJC5,SH3BGRL2
O00154,ACOT7
Q8NC96,NECAP1
P52848,NDST1
Q9UH62,ARMCX3
Q9P0L2,MARK1
Q9BV73,CEP250
O60568,PLOD3
Q15643,TRIP11
Q9Y4G8,RAPGEF2
Q96SZ6,CDK5RAP1
O43396,TXNL1
P21579,SYT1
Q96I15,SCLY
O75143,ATG13
Q01518,CAP1
Q13614,MTMR2
Q99733,NAP1L4
P80192,MAP3K9
Q7L8A9,VASH1
Q75VX8,GAREM2
Q9C0C2,TNKS1BP1
Q8N568,DCLK2
Q9GZZ1,NAA50
P11940,PABPC1
Q86XK2,FBXO11
Q8IYS2,KIAA2013
Q13085,ACACA
Q9NP66,HMG20A
Q9Y6X4,FAM169A
Q8IVT5,KSR1
P98172,EFNB1
A6NHL2,TUBAL3
Q9BY43,CHMP4A
Q15819,UBE2V2
Q8IYB1,MB21D2
Q9UGJ0,PRKAG2
Q96RT1,ERBIN
Q9BRP8,PYM1
Q96MH6,TMEM68
P00568,AK1
O14618,CCS
Q96MW7,TIGD1
Q6H8Q1,ABLIM2
P06748,NPM1
Q8IYB3,SRRM1
Q8TEU7,RAPGEF6
P31040,SDHA
Q5EB52,MEST
Q9Y312,AAR2
Q15067,ACOX1
Q9HBH5,RDH14
Q76NI1,KNDC1
Q8N5Z5,KCTD17
Q96PZ0,PUS7
Q96JA1,LRIG1
Q15008,PSMD6
O14874,BCKDK
Q6YBV0,SLC36A4
Q6NUM9,RETSAT
Q8IX01,SUGP2
Q9NZ53,PODXL2
P42166,TMPO
P32004,L1CAM
P29558,RBMS1
Q08945,SSRP1
P04181,OAT
P53677,AP3M2
Q9NZ01,TECR
Q86TU7,SETD3
P26641,EEF1G
Q9Y5W9,SNX11
P11142,HSPA8
Q8N8S7,ENAH
Q86YR5,GPSM1
Q9HCU4,CELSR2
Q8N111,CEND1
Q8TCA0,LRRC20
O94979,SEC31A
Q9Y463,DYRK1B
P00505,GOT2
Q6P158,DHX57
Q9Y4P3,TBL2
P29401,TKT
P32929,CTH
Q68DK7,MSL1
O43164,PJA2
Q6PJG9,LRFN4
Q6NTF9,RHBDD2
O95571,ETHE1
Q15843,NEDD8
Q5T5P2,KIAA1217
P25686,DNAJB2
Q8TB36,GDAP1
P36871,PGM1
Q9HCS7,XAB2
Q5BKZ1,ZNF326
Q9Y4E6,WDR7
Q10713,PMPCA
Q6PD74,AAGAB
Q6ICG6,KIAA0930
Q9H7D7,WDR26
O15126,SCAMP1
Q2MJR0,SPRED3
O15062,ZBTB5
O60749,SNX2
Q3KQU3,MAP7D1
P52429,DGKE
Q9BYT3,STK33
Q69YQ0,SPECC1L
Q96JC1,VPS39
Q86V59,PNMA8A
P78310,CXADR
P51570,GALK1
Q7Z6M4,MTERF4
P56537,EIF6
Q14657,LAGE3
Q13114,TRAF3
Q5H9R4,ARMCX4
P19387,POLR2C
Q9Y2Q3,GSTK1
Q96MX3,ZNF48
Q08554,DSC1
P54646,PRKAA2
P48200,IREB2
Q8TB96,ITFG1
Q9C0H5,ARHGAP39
Q562R1,ACTBL2
Q8NFP4,MDGA1
Q8N0Z8,PUSL1
Q86UW6,N4BP2
O75078,ADAM11
O00170,AIP
P40938,RFC3
Q9Y3A3,MOB4
Q9NS40,KCNH7
O60331,PIP5K1C
P42224,STAT1
Q96HS1,PGAM5
Q8N118,CYP4X1
Q9Y233,PDE10A
Q14194,CRMP1
Q14114,LRP8
P51151,RAB9A
Q2PPJ7,RALGAPA2
O75925,PIAS1
Q92796,DLG3
Q9UKV5,AMFR
Q96NC0,ZMAT2
Q53G59,KLHL12
Q15424,SAFB
P53384,NUBP1
O15212,PFDN6
P02786,TFRC
P00390,GSR
Q92484,SMPDL3A
P78345,RPP38
Q9P2F8,SIPA1L2
