PG.ProteinGroups,PG.Genes
O00232,PSMD12
P22090,RPS4Y1
Q96BQ5,CCDC127
Q969F1,GTF3C6
Q9BUL5,PHF23
O94927,HAUS5
Q7L2H7,EIF3M
Q96A11,GAL3ST3
O75676,RPS6KA4
Q08209,PPP3CA
Q8ND90,PNMA1
P23435,CBLN1
P29353,SHC1
Q96CM8,ACSF2
O00754,MAN2B1
P12235,SLC25A4
P61981,YWHAG
Q9UM19,HPCAL4
Q9H307,PNN
O15069,NACAD
P11498,PC
Q02750,MAP2K1
Q13795,ARFRP1
Q9H4W6,EBF3
P34947,GRK5
Q9GZT3,SLIRP
Q13510,ASAH1
Q8NI36,WDR36
O14490,DLGAP1
O15228,GNPAT
P14927,UQCRB
Q6ZTN6,ANKRD13D
Q14789,GOLGB1
Q96PU5,NEDD4L
O75381,PEX14
Q6ZPD9,DPY19L3
Q9P0X4,CACNA1I
P07737,PFN1
Q5VWG9,TAF3
Q5JR59,MTUS2
Q9NVR0,KLHL11
Q9BSB4,ATG101
Q8WUM4,PDCD6IP
Q58A45,PAN3
Q9C0D3,ZYG11B
P57721,PCBP3
Q8N1A0,KRT222
Q5VVQ6,YOD1
Q8NEB9,PIK3C3
P50895,BCAM
Q9UKZ1,CNOT11
Q92820,GGH
Q9Y2I7,PIKFYVE
O00512,BCL9
Q15477,SKIV2L
Q9BYH1,SEZ6L
Q9BZI1,IRX2
Q86UR5,RIMS1
Q5T200,ZC3H13
Q9Y4L1,HYOU1
P82921,MRPS21
A0AVT1,UBA6
P78347,GTF2I
Q9H3T2,SEMA6C
O75467,ZNF324
Q96N11,C7orf26
Q9Y324,FCF1
Q9NX61,TMEM161A
O76003,GLRX3
Q70E73,RAPH1
P43250,GRK6
Q9Y6G3,MRPL42
Q14204,DYNC1H1
P13010,XRCC5
P30154,PPP2R1B
Q9UI12,ATP6V1H
Q96BR9,ZBTB8A
Q9BQE3,TUBA1C
O94864,SUPT7L
Q9P2P1,NYNRIN
P17987,TCP1
P62330,ARF6
Q53F19,NCBP3
Q96B45,BORCS7
P54829,PTPN5
Q96M96,FGD4
P42695,NCAPD3
Q9Y5K5,UCHL5
Q9HD33,MRPL47
O95433,AHSA1
Q12791,KCNMA1
O14523,C2CD2L
Q7Z6E9,RBBP6
Q9H993,ARMT1
Q8NAT1,POMGNT2
Q9BTC0,DIDO1
Q9NR50,EIF2B3
Q04837,SSBP1
O43491,EPB41L2
Q14721,KCNB1
Q7Z7A3,CTU1
P13497,BMP1
Q9NX20,MRPL16
Q01118,SCN7A
Q00341,HDLBP
P61289,PSME3
Q8WV93,AFG1L
Q9UMZ2,SYNRG
Q8TCX1,DYNC2LI1
Q02641,CACNB1
Q9H3N1,TMX1
O14561,NDUFAB1
Q8WXE9,STON2
Q9P0M9,MRPL27
Q96EK6,GNPNAT1
Q86WK6,AMIGO1
P35250,RFC2
Q9Y2K5,R3HDM2
Q9BTV4,TMEM43
P04406,GAPDH
P48380,RFX3
P26583,HMGB2
O96006,ZBED1
O43159,RRP8
O00567,NOP56
O95214,LEPROTL1
Q9H0H0,INTS2
Q8NDI1,EHBP1
Q96ER3,SAAL1
Q0JRZ9,FCHO2
P07195,LDHB
Q6PJI9,WDR59
Q9H1I8,ASCC2
Q9H777,ELAC1
Q14676,MDC1
Q66K66,TMEM198
Q00059,TFAM
Q13362,PPP2R5C
O75928,PIAS2
Q9NVM6,DNAJC17
O14974,PPP1R12A
Q9UJ55,MAGEL2
O43824,GTPBP6
O00268,TAF4
Q9BZF2,OSBPL7
Q15021,NCAPD2
Q9NR09,BIRC6
Q7Z7G8,VPS13B
P78527,PRKDC
Q96Q83,ALKBH3
Q86VW2,ARHGEF25
Q96AE4,FUBP1
Q12905,ILF2
O96019,ACTL6A
Q9H7X7,IFT22
P52306,RAP1GDS1
P51957,NEK4
P46776,RPL27A
A6NHR9,SMCHD1
Q9H814,PHAX
Q96JX3,SERAC1
Q96LT7,C9orf72
Q2M1K9,ZNF423
Q8NBN7,RDH13
P25205,MCM3
P15121,AKR1B1
Q15165,PON2
Q9NWT1,PAK1IP1
Q52LJ0,FAM98B
Q92539,LPIN2
Q9NUJ1,ABHD10
Q9P2U8,SLC17A6
Q92540,SMG7
Q9NZV1,CRIM1
Q15014,MORF4L2
O15540,FABP7
Q9NRG9,AAAS
Q13371,PDCL
Q9ULE3,DENND2A
Q9HA92,RSAD1
Q6DHV7,ADAL
Q15007,WTAP
Q6UXP7,FAM151B
Q9Y4P8,WIPI2
Q14703,MBTPS1
P28838,LAP3
Q9NYL9,TMOD3
P10746,UROS
Q6UVM3,KCNT2
Q86YP4,GATAD2A
Q13356,PPIL2
Q8TAC9,SCAMP5
Q13123,IK
Q9BXY0,MAK16
Q15223,NECTIN1
Q9Y305,ACOT9
Q14534,SQLE
Q9NWW6,NMRK1
Q8N9B5,JMY
Q14008,CKAP5
Q9Y4J8,DTNA
Q9Y5S9,RBM8A
P36405,ARL3
P33402,GUCY1A2
Q14746,COG2
Q9BS26,ERP44
Q92989,CLP1
Q16822,PCK2
Q6ZSJ9,SHISA6
O75140,DEPDC5
O00401,WASL
Q8WXD9,CASKIN1
Q99963,SH3GL3
Q9Y6J0,CABIN1
P49189,ALDH9A1
Q8N1B4,VPS52
Q8WXE0,CASKIN2
P23142,FBLN1
Q9Y297,BTRC
Q96JB5,CDK5RAP3
Q02410,APBA1
Q6IAN0,DHRS7B
Q02952,AKAP12
Q08AF3,SLFN5
Q8NBP0,TTC13
Q9H9Y4,GPN2
P20700,LMNB1
Q96RD7,PANX1
P62917,RPL8
Q14978,NOLC1
P05165,PCCA
O14910,LIN7A
Q53FP2,TMEM35A
Q9NWB6,ARGLU1
Q9NVA1,UQCC1
Q9H3L0,MMADHC
Q567V2,MPV17L2
O95396,MOCS3
Q5JRX3,PITRM1
Q9BTE1,DCTN5
Q9BYC9,MRPL20
Q13480,GAB1
Q96QE5,TEFM
Q9Y2S6,TMA7
Q969V3,NCLN
Q9H4Z3,PCIF1
Q5SYE7,NHSL1
P55884,EIF3B
Q96IW7,SEC22A
Q9NWQ4,GPATCH2L
Q5TAQ9,DCAF8
O43464,HTRA2
Q06124,PTPN11
O95477,ABCA1
Q16531,DDB1
Q68DU8,KCTD16
O00231,PSMD11
Q15554,TERF2
Q9NT68,TENM2
Q9NP79,VTA1
Q9ULU4,ZMYND8
Q86Y97,KMT5C
Q15269,PWP2
Q6PHR2,ULK3
Q96E17,RAB3C
Q86Y39,NDUFA11
Q13535,ATR
Q5JSH3,WDR44
Q9BX70,BTBD2
Q93034,CUL5
Q7L1W4,LRRC8D
Q7L7V1,DHX32
P68402,PAFAH1B2
O95363,FARS2
Q08289,CACNB2
P05166,PCCB
Q9UJC3,HOOK1
Q9Y3L5,RAP2C
P35580,MYH10
Q9BT30,ALKBH7
Q9NZM4,BICRA
Q16775,HAGH
P50993,ATP1A2
Q9NRX1,PNO1
Q9UK73,FEM1B
P17812,CTPS1
O60244,MED14
Q9Y2D4,EXOC6B
Q99570,PIK3R4
Q07020,RPL18
Q9H0L4,CSTF2T
Q9Y462,ZNF711
Q9UNP4,ST3GAL5
Q08493,PDE4C
P51797,CLCN6
O75781,PALM
P40121,CAPG
O14908,GIPC1
P13861,PRKAR2A
Q9UJT0,TUBE1
P05423,POLR3D
P13995,MTHFD2
P49792,RANBP2
Q9Y282,ERGIC3
Q9Y5W7,SNX14
P85299,PRR5
Q9P013,CWC15
P35998,PSMC2
Q96B97,SH3KBP1
Q9UN36,NDRG2
O15131,KPNA5
Q5JS37,NHLRC3
Q15361,TTF1
Q8NCW5,NAXE
Q9H6S0,YTHDC2
P54793,ARSF
Q92630,DYRK2
P20226,TBP
Q96EE3,SEH1L
Q63HM9,PLCXD3
O94804,STK10
P49711,CTCF
Q9NVH2,INTS7
Q53HC5,KLHL26
Q15427,SF3B4
Q9Y606,PUS1
Q9HAD4,WDR41
Q5T4F4,ZFYVE27
Q9UJX3,ANAPC7
P12109,COL6A1
Q96DB5,RMDN1
Q8TBZ3,WDR20
P60228,EIF3E
Q8TAG9,EXOC6
Q9NZI7,UBP1
Q92503,SEC14L1
Q3ZCM7,TUBB8
P23416,GLRA2
Q8NBU5,ATAD1
Q8IY47,KBTBD2
O15511,ARPC5
Q14247,CTTN
Q92783,STAM
Q9NWM3,CUEDC1
Q99943,AGPAT1
O00443,PIK3C2A
Q8TDN4,CABLES1
Q9Y2W1,THRAP3
Q01826,SATB1
O94760,DDAH1
Q8WXS5,CACNG8
Q96AC1,FERMT2
Q96QK1,VPS35
A8MWL6,
P61764,STXBP1
P62070,RRAS2
Q5BKX5,C19orf54
P53582,METAP1
O95789,ZMYM6
O60841,EIF5B
Q9NPB8,GPCPD1
Q709C8,VPS13C
Q6NUK4,REEP3
Q14118,DAG1
Q8NDC4,MORN4
Q86VN1,VPS36
Q8NEL9,DDHD1
O75131,CPNE3
P30050,RPL12
Q5SSJ5,HP1BP3
P39023,RPL3
Q5H9F3,BCORL1
Q8TEX9,IPO4
O95359,TACC2
P21333,FLNA
Q15274,QPRT
Q8IXN7,RIMKLA
Q9C0C9,UBE2O
Q92623,TTC9
P84157,MXRA7
Q8IWB7,WDFY1
Q4AC94,C2CD3
P50402,EMD
Q6UB28,METAP1D
Q9Y4C8,RBM19
P48382,RFX5
Q8N720,ZNF655
Q5JSL3,DOCK11
O95201,ZNF205
Q8N584,TTC39C
O00425,IGF2BP3
Q8TEQ0,SNX29
Q9Y2J0,RPH3A
Q9NYU2,UGGT1
Q14833,GRM4
A6NKF1,SAC3D1
Q9BQ67,GRWD1
Q8NEN9,PDZD8
Q9NP80,PNPLA8
Q9NQT5,EXOSC3
Q13619,CUL4A
P53609,PGGT1B
Q14689,DIP2A
P10644,PRKAR1A
Q9Y680,FKBP7
O60507,TPST1
O60825,PFKFB2
Q8WU10,PYROXD1
O95886,DLGAP3
Q9NQW7,XPNPEP1
Q9Y2W2,WBP11
Q9Y385,UBE2J1
O43818,RRP9
Q15118,PDK1
Q9H488,POFUT1
Q9UBS9,SUCO
Q8NE00,TMEM104
Q9NYH9,UTP6
Q8WYA6,CTNNBL1
Q9NZI2,KCNIP1
Q9BZG8,DPH1
Q15437,SEC23B
Q9BXJ8,TMEM120A
Q8N609,TRAM1L1
Q14145,KEAP1
Q9HD45,TM9SF3
Q92733,PRCC
Q9Y4G2,PLEKHM1
P37287,PIGA
Q9NQZ2,UTP3
O75521,ECI2
Q14764,MVP
Q8IWY4,SCUBE1
Q86X27,RALGPS2
Q9H8E8,KAT14
Q8NBS9,TXNDC5
Q9BYV8,CEP41
Q8IZ83,ALDH16A1
Q16851,UGP2
P62906,RPL10A
Q9UKU0,ACSL6
Q07343,PDE4B
Q9NUQ7,UFSP2
Q15149,PLEC
P60484,PTEN
Q96A49,SYAP1
Q96S94,CCNL2
Q86W50,METTL16
P46940,IQGAP1
Q96KP1,EXOC2
Q9Y6W3,CAPN7
Q8IYI6,EXOC8
Q08431,MFGE8
P49593,PPM1F
Q9UHL4,DPP7
Q9H6R6,ZDHHC6
Q9UEW8,STK39
Q14166,TTLL12
P48058,GRIA4
Q9Y2H1,STK38L
Q5VIR6,VPS53
O15054,KDM6B
P14621,ACYP2
Q96BN2,TADA1
Q92626,PXDN
Q96F25,ALG14
O75151,PHF2
Q9BTW9,TBCD
Q4FZB7,KMT5B
Q15147,PLCB4
Q92673,SORL1
Q07960,ARHGAP1
Q9UBW8,COPS7A
Q13608,PEX6
P21506,ZNF10
Q13868,EXOSC2
Q8N414,PGBD5
Q9UGV2,NDRG3
Q96EP0,RNF31
Q14444,CAPRIN1
Q9Y2X3,NOP58
Q12802,AKAP13
Q86X10,RALGAPB
Q9H2A3,NEUROG2
Q9NWS8,RMND1
P14314,PRKCSH
Q9H9P5,UNKL
Q6UWY0,ARSK
O43148,RNMT
Q8IYR2,SMYD4
Q9NR30,DDX21
O95197,RTN3
P50395,GDI2
Q6UX04,CWC27
Q9NPF4,OSGEP
Q5T6F0,DCAF12
P42898,MTHFR
P05198,EIF2S1
Q8IW45,NAXD
Q96M27,PRRC1
O00148,DDX39A
O75487,GPC4
Q9NRY4,ARHGAP35
Q05397,PTK2
Q96AA8,JAKMIP2
Q8NEG7,DENND6B
O14569,CYB561D2
Q16877,PFKFB4
P14735,IDE
P15498,VAV1
Q9BY12,SCAPER
P78330,PSPH
P46063,RECQL
Q9HC07,TMEM165
Q86VY4,TSPYL5
P11441,UBL4A
P21399,ACO1
Q15326,ZMYND11
Q68EN5,KIAA0895L
Q96BP3,PPWD1
P13804,ETFA
Q4AE62,GTDC1
O95704,APBB3
P51608,MECP2
P17050,NAGA
Q7Z417,NUFIP2
Q9UIS9,MBD1
Q15526,SURF1
O15169,AXIN1
Q9UDY4,DNAJB4
Q96G46,DUS3L
Q9P2R7,SUCLA2
P09960,LTA4H
Q01813,PFKP
P25391,LAMA1
Q9NQ69,LHX9
Q15287,RNPS1
Q92562,FIG4
Q8N0V5,GCNT2
P04264,KRT1
O43290,SART1
Q15121,PEA15
Q9UJQ4,SALL4
O75083,WDR1
P18124,RPL7
Q8IW41,MAPKAPK5
Q8N2W9,PIAS4
Q5T7W0,ZNF618
Q9UNX4,WDR3
Q14254,FLOT2
O75899,GABBR2
Q9UQ80,PA2G4
Q02978,SLC25A11
Q8NFQ8,TOR1AIP2
P62633,CNBP
Q8N4B1,PHETA1
P48556,PSMD8
Q96RG2,PASK
Q13148,TARDBP
P78346,RPP30
Q9UKK3,PARP4
Q9BY89,KIAA1671
Q86Y37,CACUL1
O00186,STXBP3
Q8NCN5,PDPR
Q9NQ89,C12orf4
P25786,PSMA1
O15211,RGL2
P42126,ECI1
Q9UDW3,ZMAT5
P07237,P4HB
Q15349,RPS6KA2
Q96N16,JAKMIP1
Q8N9N8,EIF1AD
Q5PSV4,BRMS1L
Q9NPI6,DCP1A
O94763,URI1
P19623,SRM
P07954,FH
P51970,NDUFA8
Q9NZ52,GGA3
Q5TC79,ZBTB37
O00764,PDXK
Q9Y6A1,POMT1
O43175,PHGDH
O14980,XPO1
P31949,S100A11
P61201,COPS2
Q9BUH6,PAXX
P49748,ACADVL
O95198,KLHL2
Q96FA3,PELI1
Q8WWV3,RTN4IP1
Q12816,TRO
Q6AI39,BICRAL
Q8NFY9,KBTBD8
P38571,LIPA
P14550,AKR1A1
Q96E29,MTERF3
Q8NBX0,SCCPDH
Q9H329,EPB41L4B
Q9BUL8,PDCD10
Q08380,LGALS3BP
Q9BVK6,TMED9
Q15034,HERC3
P13591,NCAM1
Q53FA7,TP53I3
P20674,COX5A
P35658,NUP214
Q7RTV0,PHF5A
Q96T60,PNKP
P42858,HTT
P02790,HPX
L0R819,ASDURF
Q13425,SNTB2
Q6DD88,ATL3
Q9Y2J2,EPB41L3
Q15758,SLC1A5
Q96IJ6,GMPPA
Q2M2I8,AAK1
O60493,SNX3
Q9BVS5,TRMT61B
Q9ULC4,MCTS1
Q92823,NRCAM
Q9Y2E4,DIP2C
P11277,SPTB
Q8N944,AMER3
P30711,GSTT1
Q05D32,CTDSPL2
Q9P000,COMMD9
Q9H334,FOXP1
O43567,RNF13
P52888,THOP1
Q9NRK6,ABCB10
P62079,TSPAN5
O60547,GMDS
O95568,METTL18
Q8WTT2,NOC3L
P14625,HSP90B1
Q9Y5K3,PCYT1B
Q9P016,THYN1
Q96AX1,VPS33A
O94925,GLS
Q9UNN5,FAF1
Q6UUV9,CRTC1
P06746,POLB
Q9BZE9,ASPSCR1
Q5T440,IBA57
Q9Y4B6,DCAF1
Q96GY0,ZC2HC1A
Q9UKA9,PTBP2
P98077,SHC2
P47985,UQCRFS1
Q99961,SH3GL1
Q9NWV8,BABAM1
P55145,MANF
P40818,USP8
P0CAP2,POLR2M
Q14517,FAT1
P15374,UCHL3
Q5JS54,PSMG4
P28482,MAPK1
P10909,CLU
Q8IYS1,PM20D2
Q9NXF1,TEX10
Q8NI37,PPTC7
Q9Y6W5,WASF2
Q9GZN8,C20orf27
Q9UBE8,NLK
Q9H7E2,TDRD3
Q96H78,SLC25A44
Q8IZQ5,SELENOH
P14618,PKM
O76039,CDKL5
Q6P1R3,MSANTD2
Q9BZF3,OSBPL6
Q86VD7,SLC25A42
P80404,ABAT
P55327,TPD52
Q9NUA8,ZBTB40
Q15382,RHEB
Q16134,ETFDH
P55010,EIF5
P11310,ACADM
P29323,EPHB2
P78314,SH3BP2
Q01968,OCRL
P42785,PRCP
Q9P2H3,IFT80
Q96KQ4,PPP1R13B
O95478,NSA2
Q9NVM9,INTS13
Q6PI47,KCTD18
Q14807,KIF22
Q96CN4,EVI5L
Q04771,ACVR1
Q9UBQ7,GRHPR
Q9BVG3,TRIM62
Q9UGP8,SEC63
P09429,HMGB1
Q8IY33,MICALL2
A1Z1Q3,MACROD2
A6NHQ2,FBLL1
A6NMB9,FIGNL2
E9PRG8,C11orf98
O00159,MYO1C
O00400,SLC33A1
O00746,NME4
O14617,AP3D1
O14657,TOR1B
O14713,ITGB1BP1
O14734,ACOT8
O14893,GEMIN2
O14907,TAX1BP3
O14936,CASK
O15034,RIMBP2
O15269,SPTLC1
O43150,ASAP2
O43156,TTI1
O43583,DENR
O60256,PRPSAP2
O60512,B4GALT3
O60518,RANBP6
O60610,DIAPH1
O60870,KIN
O60885,BRD4
O60890,OPHN1
O60930,RNASEH1
O75340,PDCD6
O75494,SRSF10
O75689,ADAP1
O75879,GATB
O94842,TOX4
O94919,ENDOD1
O95125,ZNF202
O95149,SNUPN
O95164,UBL3
O95199,RCBTB2
O95425,SVIL
O95685,PPP1R3D
O95865,DDAH2
P02768,ALB
P03905,MT-ND4
P04844,RPN2
P06737,PYGL
P06744,GPI
P08195,SLC3A2
P08397,HMBS
P08559,PDHA1
P08758,ANXA5
P08913,ADRA2A
P0DPB5,POLR1D
P10636,MAPT
P11216,PYGB
P11586,MTHFD1
P13521,SCG2
P13646,KRT13
P15848,ARSB
P15927,RPA2
P16278,GLB1
P16519,PCSK2
P17096,HMGA1
P17098,ZNF8
P18621,RPL17
P18754,RCC1
P18827,SDC1
P19013,KRT4
P22102,GART
P22234,PAICS
P22735,TGM1
P22748,CA4
P23352,ANOS1
P23526,AHCY
P24941,CDK2
P25325,MPST
P27708,CAD
P27797,CALR
P28066,PSMA5
P28070,PSMB4
P28161,GSTM2
P28331,NDUFS1
P29084,GTF2E2
P29218,IMPA1
P30260,CDC27
P30837,ALDH1B1
P33993,MCM7
P35270,SPR
P35498,SCN1A
P35754,GLRX
P36542,ATP5F1C
P36776,LONP1
P37198,NUP62
P39656,DDOST
P40616,ARL1
P41091,EIF2S3
P41217,CD200
P42575,CASP2
P45983,MAPK8
P46108,CRK
P46777,RPL5
P46778,RPL21
P48147,PREP
P48728,AMT
P48735,IDH2
P49006,MARCKSL1
P49356,FNTB
P49720,PSMB3
P50150,GNG4
P50454,SERPINH1
P51178,PLCD1
P51553,IDH3G
P51649,ALDH5A1
P52209,PGD
P52565,ARHGDIA
P52735,VAV2
P53041,PPP5C
P53618,COPB1
P55039,DRG2
P55735,SEC13
P56524,HDAC4
P58335,ANTXR2
P60033,CD81
P60174,TPI1
P60900,PSMA6
P60903,S100A10
P61009,SPCS3
P61513,RPL37A
P61923,COPZ1
P62753,RPS6
P63261,ACTG1
P63279,UBE2I
P98155,VLDLR
P98196,ATP11A
Q01469,FABP5
Q02413,DSG1
Q06830,PRDX1
Q08378,GOLGA3
Q09028,RBBP4
Q10472,GALNT1
Q12959,DLG1
Q13162,PRDX4
Q13202,DUSP8
Q13330,MTA1
Q13509,TUBB3
Q13574,DGKZ
Q14005,IL16
Q14146,URB2
Q14203,DCTN1
Q14376,GALE
Q14642,INPP5A
Q15119,PDK2
Q15181,PPA1
Q15256,PTPRR
Q15555,MAPRE2
Q15813,TBCE
Q16537,PPP2R5E
Q16798,ME3
Q16878,CDO1
Q16891,IMMT
Q2TAA2,IAH1
Q4G176,ACSF3
Q53GQ0,HSD17B12
Q53GS9,USP39
Q53S58,TMEM177
Q5R3I4,TTC38
Q5T653,MRPL2
Q5T8P6,RBM26
Q5VST6,ABHD17B
Q68CQ7,GLT8D1
Q68CZ1,RPGRIP1L
Q6EEV4,POLR2M
Q6KB66,KRT80
Q6NUQ1,RINT1
Q6NW34,NEPRO
Q6P2E9,EDC4
Q6P587,FAHD1
Q6P6C2,ALKBH5
Q6PL24,TMED8
Q6UUV7,CRTC3
Q6UWN5,LYPD5
Q71RG4,TMUB2
Q7L1Q6,BZW1
Q7L266,ASRGL1
Q7L576,CYFIP1
Q7LGA3,HS2ST1
Q7Z2E3,APTX
Q7Z3B1,NEGR1
Q7Z407,CSMD3
Q7Z794,KRT77
Q86SQ7,SDCCAG8
Q86TV6,TTC7B
Q86WA6,BPHL
Q86YM7,HOMER1
Q8IU85,CAMK1D
Q8IUX7,AEBP1
Q8IXM2,BAP18
Q8IY81,FTSJ3
Q8IYU8,MICU2
Q8IZ40,RCOR2
Q8IZL9,CDK20
Q8N165,PDIK1L
Q8N4Q1,CHCHD4
Q8N573,OXR1
Q8N5K1,CISD2
Q8N5T2,TBC1D19
Q8NBL1,POGLUT1
Q8NCY6,MSANTD4
Q8NE86,MCU
Q8NFH4,NUP37
Q8TAP4,LMO3
Q8TAT6,NPLOC4
Q8TCB7,METTL6
Q8TDZ2,MICAL1
Q8TET4,GANC
Q8WVB6,CHTF18
Q8WVV9,HNRNPLL
Q8WX93,PALLD
Q8WXX5,DNAJC9
Q92665,MRPS31
Q92947,GCDH
Q92973,TNPO1
Q969E2,SCAMP4
Q969S9,GFM2
Q96A05,ATP6V1E2
Q96A73,KIAA1191
Q96AN5,TMEM143
Q96BR5,COA7
Q96BW5,PTER
Q96D09,GPRASP2
Q96ER9,CCDC51
Q96EY8,MMAB
Q96FX7,TRMT61A
Q96GM8,TOE1
Q96H20,SNF8
Q96HD1,CRELD1
Q96LB3,IFT74
Q96NT0,CCDC115
Q96P48,ARAP1
Q99470,SDF2
Q99547,MPHOSPH6
Q99622,C12orf57
Q99661,KIF2C
Q99962,SH3GL2
Q9BS92,NIPSNAP3B
Q9BTV7,CABLES2
Q9BUT1,BDH2
Q9BV23,ABHD6
Q9BVJ6,UTP14A
Q9BW92,TARS2
Q9BX10,GTPBP2
Q9BXB5,OSBPL10
Q9BXP2,SLC12A9
Q9BZ23,PANK2
Q9BZQ4,NMNAT2
Q9GZV3,SLC5A7
Q9H0U3,MAGT1
Q9H0U4,RAB1B
Q9H0W9,C11orf54
Q9H2T7,RANBP17
Q9H330,TMEM245
Q9H336,CRISPLD1
Q9H479,FN3K
Q9H9B4,SFXN1
Q9H9F9,ACTR5
Q9H9P8,L2HGDH
Q9HB90,RRAGC
Q9HD23,MRS2
Q9NQ84,GPRC5C
Q9NR45,NANS
Q9NRN9,METTL5
Q9NSE4,IARS2
Q9NTK5,OLA1
Q9NUU7,DDX19A
Q9NVH1,DNAJC11
Q9NVS9,PNPO
Q9NW15,ANO10
Q9NWX5,ASB6
Q9NY35,CLDND1
Q9NY61,AATF
Q9NYP7,ELOVL5
Q9NZ45,CISD1
Q9NZD8,SPG21
Q9NZW5,MPP6
Q9P0L0,VAPA
Q9P0V3,SH3BP4
Q9P1U1,ACTR3B
Q9P281,BAHCC1
Q9UBS4,DNAJB11
Q9UF33,EPHA6
Q9UGK8,SERGEF
Q9UHA4,LAMTOR3
Q9UHD1,CHORDC1
Q9UHD2,TBK1
Q9UHG2,PCSK1N
Q9UI15,TAGLN3
Q9UJT9,FBXL7
Q9UJX5,ANAPC4
Q9UK76,JPT1
Q9UL63,MKLN1
Q9UM11,FZR1
Q9UN81,L1RE1
Q9UNP9,PPIE
Q9UPR3,SMG5
Q9Y287,ITM2B
Q9Y2L9,LRCH1
Q9Y2P8,RCL1
Q9Y2R9,MRPS7
Q9Y3B7,MRPL11
Q9Y3C4,TPRKB
Q9Y3D8,AK6
Q9Y530,OARD1
Q9Y679,AUP1
Q9Y6X2,PIAS3