PG.Genes,ConditionNorm_P_50_1_log2,ConditionNorm_P_50_2_log2,ConditionNorm_P_50_3_log2
KCTD12,-3.673533875,-3.708574129,-3.69855524
TCAF1,-3.340999207,-3.301578838,-3.315246489
MDH1,-5.690880526,-5.657401211,-5.714070855
FKBP8,-3.254231487,-3.309495223,-3.250209216
SNRPB2,-6.009899427,-5.978444322,-6.048274257
NUDT16L1,-4.817395105,-4.762368442,-4.821722449
UBE4B,-5.349771908,-5.39170617,-5.440350754
ALS2,-4.40482921,-4.502282111,-4.447515939
SAMM50,-6.149117838,-6.236146943,-6.151895674
TBC1D17,-4.42740766,-4.438477011,-4.511527357
AASDHPPT,-4.289348759,-4.186398067,-4.207455177
RUNX1T1,-2.511735365,-2.40388337,-2.42498049
SFXN3,-4.98953944,-5.073154317,-5.098503522
NFASC,-4.80059596,-4.689798342,-4.714604729
LPGAT1,-4.952785443,-5.045688308,-5.05767804
CLNS1A,-5.277158994,-5.289882242,-5.184662619
GNAZ,-5.561365732,-5.573848651,-5.509759457
YKT6,-6.373091952,-6.252923797,-6.279902373
TMEM132A,-3.446098129,-3.486275179,-3.44318607
MPZL1,-6.114532562,-6.143728519,-6.08116145
ISYNA1,-4.513427372,-4.411639646,-4.532217353
UBR7,-3.217818047,-3.346786229,-3.316972266
PUM1,-3.668928463,-3.755957341,-3.620018601
PDE6D,-4.335232546,-4.228526632,-4.321872412
CAPZB,-4.945341206,-5.082278853,-5.025497983
DDX6,-5.338069343,-5.467801698,-5.451204252
ENO2,-8.976762273,-8.880159618,-9.01249255
G6PD,-5.243466365,-5.382767232,-5.341275962
MTA2,-3.672745819,-3.598704922,-3.522795463
ALG9,-6.324487999,-6.468406261,-6.344227171
ARMCX1,-4.188455963,-4.311237987,-4.311748618
MBLAC2,-5.373409402,-5.216505493,-5.26881053
SEMA7A,-3.46660392,-3.545517704,-3.386321445
AGTPBP1,-5.381575059,-5.22957352,-5.35031894
DHX16,-5.033499846,-4.963259905,-5.122820478
ARIH1,-3.672385802,-3.835141921,-3.687033859
GDAP1L1,-5.809327598,-5.665599661,-5.829024107
STX12,-4.203688402,-4.022391527,-4.127260708
CAMKV,-5.645547377,-5.531946883,-5.686874038
PSMA2,-7.17741911,-7.218422162,-7.351637179
PLD3,-3.909627883,-3.998722531,-4.095653293
RAB7A,-8.304911349,-8.13776887,-8.151249219
RNH1,-5.501352492,-5.447329663,-5.636249449
MOB4,-6.901340153,-6.735800698,-6.723400597
ZNF428,-3.144684178,-3.091687354,-3.28332805
NCAM2,-3.638149378,-3.440296761,-3.562195961
RAB30,-4.426583552,-4.28052404,-4.473863528
GNAI1,-5.337744904,-5.382045915,-5.187653954
KPNA2,-3.211936722,-3.175106529,-3.373095226
STIM1,-5.032465151,-5.189411464,-4.978769736
CRBN,-4.3318044,-4.292036282,-4.27418084
RPS6KA3,-4.359733728,-4.418076431,-4.573534416
GPAA1,-4.602928369,-4.68475557,-4.573174941
NOL4L,-2.713551488,-2.749623822,-2.557186638
HDAC5,-0.791834226,-0.83691975,-0.926965282
CBFB,-4.661206217,-4.868162598,-4.676091431
SPNS1,-4.451092173,-4.430793031,-4.508656826
TRMT112,-4.553712442,-4.746370465,-4.751561164
RANBP9,-3.32384399,-3.396822672,-3.450898716
FXR2,-4.076330733,-3.853452746,-3.974163048
SNIP1,-3.876594499,-3.906298201,-4.100528721
TOR2A,-4.809607987,-4.988017637,-5.029376603
NDUFV2,-7.590777876,-7.829696975,-7.686141892
RAB18,-3.953686343,-3.943179954,-4.12596691
TOLLIP,-4.564619011,-4.747218469,-4.509626376
CBARP,-4.786677375,-4.815427336,-4.794738636
DNER,-2.903799466,-2.692827646,-2.861262191
SDCBP,-7.54093561,-7.656927703,-7.405311894
USP11,-5.144101485,-4.901628416,-4.953394298
TMEM132E,-3.767232287,-3.584985946,-3.79214525
CADM4,-3.838014094,-3.980060365,-4.093603201
ANP32E,-7.368836274,-7.512241616,-7.625918967
KDM4A,-4.522684833,-4.274096341,-4.451918749
TMEM163,-6.121846642,-5.940501935,-5.867753413
KAT5,-5.69566797,-5.548696529,-5.432365253
CCDC71,-3.050365954,-2.987921514,-3.23543285
NRXN2,-4.533197357,-4.300115295,-4.286773952
STAT1,-4.700943028,-4.477471842,-4.444297792
TANC2,-3.768097391,-3.669858671,-3.585066907
ARID3B,-3.2275784,-3.139194794,-3.411541444
FBXL20,-5.160688135,-4.941056651,-4.8966365
LDB1,-4.227355056,-4.170042587,-4.142481211
ABHD12,-4.884588175,-5.013388958,-4.717829784
KCNQ2,-3.404794174,-3.54006249,-3.317641001
BACH2,-3.462958345,-3.671825723,-3.681415815
RAB8A,-5.50650542,-5.712314422,-5.403938885
UVRAG,0.054933455,0.165178191,0.352499613
GNA13,-5.651684347,-5.724077152,-5.954547784
OLFM3,-2.703412064,-2.722553553,-2.840212353
PEX5,-4.69735656,-4.93802904,-4.950531367
FBXO44,-3.901627435,-4.197139285,-4.065888039
STK25,-4.977368533,-5.174090693,-4.847561073
EMC3,-5.40723648,-5.116570436,-5.111520149
PDE12,-8.03114495,-7.745347965,-7.727358198
PAPSS1,-4.233913488,-4.478361012,-4.537068455
SPTBN1,-9.865551058,-9.881006154,-10.14121067
RAB4B,-4.180988831,-4.145307667,-4.381633811
ARPP19,-3.926563273,-3.865469906,-3.89086556
GHITM,-6.866735405,-7.1153998,-7.18160501
CLSTN1,-2.934415341,-3.217965577,-3.016804204
FBXO7,-4.527709218,-4.742045757,-4.401319445
PCDH11X,-5.874566896,-6.211189586,-6.101964761
CTSB,-5.836689925,-5.510612359,-5.777773672
ATP6V1A,-5.473450096,-5.417434848,-5.763768168
STAT5A,-2.631410426,-2.742845911,-2.66843905
GNB5,-5.44955885,-5.211031382,-5.493491852
CADPS,-7.979993386,-7.837473752,-7.632510367
DERA,-7.057826964,-6.763816873,-6.939803411
CLPTM1,-6.553331652,-6.442999523,-6.208779967
KHSRP,-5.616823575,-5.418186134,-5.247989994
ZDHHC17,-4.050795872,-3.879248433,-4.088575695
LRIG2,-4.00622838,-4.340187798,-4.293313758
CLIP2,-11.54053211,-11.49457164,-11.5936292
SOX11,-2.593508508,-2.341235116,-2.353848451
PPIL1,-7.338037429,-7.652721445,-7.287243437
SLC25A12,-6.017015339,-6.153338256,-6.284230389
ANKLE2,-4.854987009,-4.52040611,-4.497700874
BYSL,-3.963793229,-3.709582183,-3.577185337
ELAVL4,-3.940559696,-4.266206434,-3.896927114
PTRH1,-3.837972055,-4.076120772,-3.840610688
WRNIP1,-4.342268519,-4.25578508,-4.629676954
SRRM2,-5.193953193,-5.487424508,-5.100631575
CELF1,-5.243674929,-4.961350259,-5.323587082
GCN1,-11.52957856,-11.60125901,-11.58260798
KIDINS220,-10.98345477,-11.21833221,-10.88951317
PLEKHA6,-3.237953901,-3.301295042,-3.622315186
LZTS2,-3.269784916,-2.88791774,-2.938144267
SLC1A6,-4.115560374,-3.779714827,-3.734978682
ILVBL,-5.276738562,-5.045440147,-5.434294099
TMEM65,-5.981501636,-5.582285496,-5.669140511
ASTN1,-10.94987101,-11.24266864,-11.06791526
ADGRL1,-3.547741059,-3.568376817,-3.93161714
GNAQ,-5.761425001,-6.00457956,-5.585999774
PFDN2,-6.579393593,-6.949147411,-6.907398578
NDEL1,-3.873599072,-4.025688267,-4.18272865
HIVEP1,-1.557885055,-1.215123845,-1.582759427
MAD1L1,-5.03361971,-5.258333259,-5.003927631
BOP 1.00,-10.39113215,-10.10860587,-10.19520281
MTMR7,-3.572852171,-3.907270037,-3.66990011
PIN1,-5.551688288,-5.730272001,-5.298363748
LHX4,-3.543785887,-3.979074026,-3.797595705
SELENON,-3.811658011,-3.978595264,-3.673769999
EIF4G1,-9.273383223,-9.716652581,-9.4860647
PCDH1,-3.629719986,-3.821137537,-4.032617083
KSR2,-5.167763606,-5.355208251,-4.915452246
BORCS6,-6.332320049,-6.003707266,-5.883302026
NUDT16,-4.987532572,-4.638079523,-4.541835863
TMEM63B,-4.305982485,-4.12480134,-4.507543075
GPN1,-5.926853591,-6.27486968,-6.333637945
EIF2B4,-5.994975419,-5.665269793,-6.085973073
GPC2,-4.88330915,-5.046498855,-5.348621769
PTPRK,-3.124104631,-3.407822247,-3.577297098
MFSD10,-6.439600681,-6.419946571,-6.040228445
GEMIN4,-5.511425774,-5.130287853,-5.386396015
ANKIB1,-5.327689772,-5.80926216,-5.560554131
PGRMC1,-4.90162986,-5.254041529,-4.776138841
TTC33,-4.815857087,-4.608708056,-5.09603081
CILP2,-3.610625126,-4.002668638,-4.018228938
ANKFY1,-6.427997929,-5.951331512,-6.070018055
HSDL2,1.5380073,1.16377685,1.111330972
HSPA12A,-8.802887899,-9.210580749,-9.092425585
APRT,-6.15908083,-5.740225093,-5.695496305
PGAM1,-8.58644341,-8.763004873,-8.577635366
GFRA1,-4.220697911,-4.708856267,-4.416199265
LHFPL6,-3.925909064,-3.91172294,-4.214884618
RTN4RL2,-4.253143235,-3.754563009,-4.019116286
CHMP4B,-5.111863742,-4.939567811,-5.401431715
EPM2AIP1,-4.934826328,-4.85045539,-5.32461862
SIN3B,-4.076325889,-3.812603356,-4.315809686
FKBP1B,-5.255956706,-5.057561859,-5.45422064
ONECUT3,-1.66674992,-1.733642413,-1.835119568
NCK2,-3.904766164,-3.781024236,-4.164744058
HIKESHI,-6.393547512,-6.906850801,-6.512265957
ELAVL2,-4.485840366,-4.961501398,-4.48367821
KDSR,-7.140619328,-7.188366429,-7.529210629
DDX39B,-9.419941391,-8.918359035,-8.980367106
SAP30BP,-4.823107277,-4.898336789,-5.332590344
PHC2,-3.75231659,-3.770768772,-3.427159554
NDUFAF3,-2.222853818,-1.81251593,-1.948325439
SULT4A1,-0.647791227,-0.59916575,-0.789782064
PTPA,-6.329145423,-6.047826598,-5.81011494
PSMD9,-6.162416677,-5.73728432,-5.629925152
MED23,-5.421704445,-5.864291098,-5.486522336
ASIC4,-5.971226837,-5.907076445,-5.494378732
DCX,-4.522864613,-4.559121123,-4.095319163
SORBS1,-5.083040405,-4.558115092,-4.890400262
KCMF1,-4.955945329,-4.43397516,-4.49699522
HNRNPF,-7.437056955,-7.527816771,-7.040304475
PRPF38B,-4.987009164,-5.473330178,-4.947775012
SBF1,-11.38633928,-10.97039533,-10.86853572
KLHL14,-5.025580023,-4.747246412,-4.472095903
PGLS,-5.871203361,-6.413154317,-6.203444489
GFRA2,-4.769892149,-5.326211072,-5.059767981
UNCX,-2.910113619,-3.400980143,-2.886978424
PPTC7,-0.910187354,-0.875292419,-0.727588767
SLC27A3,-12.34526413,-12.08887715,-12.41075235
RING1,-4.628592127,-4.062594234,-4.356024161
PLCH2,-2.284507555,-2.491633805,-2.34947289
PARD3,-4.309179483,-4.779576173,-4.778034933
MB21D2,-5.589102448,-5.07370613,-5.062127135
SNX1,-5.287936243,-5.77985535,-5.713362021
RTN1,-6.448667868,-6.122586845,-5.869336532
ZNF195,-3.337772293,-3.498886609,-3.4251836
ZMYND8,-10.98386061,-11.091195,-11.18917223
POLR2A,-9.95803644,-9.567139116,-10.08564051
PATZ1,-2.755288644,-2.165940258,-2.326451703
ORC4,-2.894581625,-2.874498446,-3.364726555
LRRC4C,-0.283164088,-0.719072522,-0.394979796
ARL 10.00,-3.514277749,-3.785549073,-4.10016211
CORO2B,-6.171767668,-5.765505404,-6.29001571
RBM27,-4.164901123,-4.031521371,-3.622121924
C11orf49,0.739592268,0.615729745,0.606680719
CELSR3,-6.170145828,-5.579912263,-5.788187063
SQSTM1,-4.562776547,-4.671248863,-4.698593793
TPR,-11.92374966,-11.90730421,-11.65891775
PODXL2,-3.650427385,-3.393356241,-3.993042699
BAG6,-4.633742113,-4.162872037,-4.414386778
TOR1AIP2,-4.46998411,-4.037197476,-4.572148059
TFRC,-4.774454669,-5.250307429,-4.65222339
GATAD1,-4.351839931,-4.372282029,-4.916607935
MEX3A,-3.599964131,-3.529252181,-4.115302304
KIF26A,-4.579948799,-3.96847547,-4.195598413
CAB39,-4.805378357,-4.614817133,-4.247060121
ACP1,-5.014367937,-5.220110262,-4.900294073
WASF1,-6.611876425,-6.101935379,-6.028014513
COG5,-7.163387855,-7.479212533,-7.178753717
MARF1,-4.465513032,-3.96557442,-3.864070924
FCHSD2,-3.066574425,-2.872119056,-2.682848733
UBTD2,-2.103320563,-2.261868299,-2.392307932
MAN2A1,-1.882231874,-2.130267346,-2.323096606
PMVK,-5.802760788,-5.181722899,-5.397917298
DPYSL2,-9.251329162,-8.702963977,-9.0716918
NDUFA5,-3.870723045,-4.099883035,-4.292173757
BUD13,-3.79214921,-3.516946344,-3.680279577
ASPH,-2.006473598,-2.047159787,-2.38457521
SESTD1,-3.885328122,-4.249144957,-3.743317548
KDM4B,-3.5584415,-4.166521553,-3.903859977
POLR2I,-5.109677926,-4.682777986,-5.190663973
MDGA1,-5.948935759,-6.537197378,-6.341422085
DHODH,-12.59991346,-12.23476284,-12.51655475
PGRMC2,-5.190159207,-5.202914548,-5.771414695
ASNS,-8.13446148,-8.660254382,-8.131993701
TDG,-3.537677118,-2.990417609,-3.055449395
CCSER1,-0.005836742,-0.184042951,-0.314860234
RPL18A,-6.068660921,-6.284186236,-6.269186153
VPS45,-4.637634076,-4.518057541,-5.137419743
PPP3CB,-5.759978536,-6.09572174,-5.463724562
ERCC2,-4.224336387,-4.548471822,-4.830916364
SLC35E1,-4.549550545,-4.756097359,-5.146049863
CNTNAP5,-3.895002942,-4.166427858,-4.536168697
AUH,-4.751244207,-4.367985465,-4.977226026
TRPT1,-11.84102637,-11.76753658,-11.73627625
GIGYF2,-4.626507205,-3.983676793,-4.268043826
MCF2L,-4.289155208,-4.571210847,-4.935481178
STMN1,-6.346486996,-6.528209577,-5.98025127
TCEA2,-1.609017201,-1.512714159,-1.924007277
WDR46,-5.493271077,-5.705826678,-6.06195549
UQCRC1,-6.492744046,-6.238694043,-6.75705895
KIF3A,-11.78907188,-12.09478162,-12.12203645
LRRC47,-6.682831319,-6.05682699,-6.107842751
GRN,-0.471139818,-0.545171895,-0.392414725
FBXO21,-3.107654702,-3.718347878,-3.122594937
TNIK,-3.249391616,-3.566345068,-3.2299053
ULK1,-2.231271194,-2.559443592,-2.748067955
ATP5F1A,-7.293620445,-6.83744079,-7.433423177
IQSEC2,-2.080048694,-1.544281108,-1.427207809
RPRD1B,-4.93502344,-5.020317161,-4.443218073
DEF8,-1.716122803,-1.661514444,-1.719764895
NUDT1,-11.71962129,-11.21672727,-11.08845269
PRMT1,-7.104945552,-6.595688911,-6.670804954
SLC12A2,-4.119864847,-4.273690902,-4.07071543
SLC1A2,-5.494597849,-4.951508454,-5.502572585
SCRN1,-5.439332869,-5.966124563,-6.009648485
CS,-8.470272418,-7.848888342,-7.836674623
KBTBD6,-5.115547409,-4.493455437,-4.60895743
SLIT1,-4.090556663,-3.601928056,-4.20557499
RPS4X,-9.192635739,-8.613923951,-8.524268644
CTNNB1,-3.929358904,-3.966223964,-3.396578933
CSNK1D,-3.426932305,-3.033616591,-2.740875709
NAP1L4,-8.457668894,-8.331278249,-8.897037601
MRPL24,-5.813523603,-5.944977729,-5.353055512
TRAPPC1,1.70089872,1.648538894,1.7289577
WNK1,-4.726336208,-4.663580477,-4.261467967
CNKSR2,-12.06848594,-12.15691627,-12.37883034
CNPY2,-7.615130665,-6.924865284,-7.195567781
PICALM,-4.443589885,-4.869240001,-4.719929921
P4HTM,-3.567220638,-4.22143966,-3.569683353
SBK1,-4.826260046,-4.140554453,-4.214693315
MYEF2,-7.230937807,-6.935986328,-7.638526161
PPP4C,-4.380253786,-4.848274767,-5.014504947
MAGED2,-6.189719041,-6.489628102,-6.903251239
NYAP1,-2.586670505,-2.721088447,-2.974433172
MMTAG2,4.397066212,3.957285683,4.43320736
XXYLT1,-4.148562149,-4.730953845,-4.713579505
CYFIP2,-7.779588399,-7.177572084,-7.093917759
RHOG,-2.913630453,-2.595463452,-2.21276512
NDUFS5,-5.459537891,-5.859667361,-5.642115464
UBE2K,-4.243728814,-4.580089047,-4.901660548
UQCRC2,-6.615454712,-6.099340557,-6.733107694
ECE1,-4.604240195,-4.903324212,-4.199792215
TTC5,-4.945249679,-5.629427153,-5.350317964
DACH2,-2.147452553,-1.501289149,-1.651838085
CLTC,-12.12877953,-11.45171911,-11.64039845
UBE2V2,-5.537729026,-5.524049231,-5.02992205
TFIP11,-4.476272399,-4.85120567,-4.520342084
TKT,-10.45599601,-9.862942546,-9.721869781
FAXC,-4.768968795,-4.451535519,-4.044802364
CTIF,-3.853009489,-3.110457307,-3.373680631
NFXL1,-11.16136092,-11.06187471,-10.93717504
KCTD1,-2.647736018,-2.907152617,-2.64792812
ELP3,-5.394639493,-6.007567985,-5.984610971
MAP3K12,-4.577957426,-4.963576569,-5.315983874
TBCA,-7.002540596,-7.48625046,-7.611028117
RALGPS2,-2.605637785,-2.786451392,-2.714762075
VPS52,-4.819828556,-5.150531499,-4.770064109
SMARCB1,-3.773942189,-3.614569309,-4.177370028
ATP7A,-11.36229775,-11.61849125,-11.41164807
PSPC1,-6.208352296,-6.252682668,-6.928278167
BPGM,-7.025990674,-7.051457547,-6.466421567
AP2A1,-9.999748486,-9.789440959,-10.5520029
PPP2R1A,-9.598826166,-10.26714595,-10.12916155
PTPRF,-4.290075887,-3.94069815,-4.69604708
ARID3A,-4.334780669,-3.742557103,-4.356415581
DDX50,-5.417962263,-5.36567623,-6.105125872
AGPS,-12.09737422,-12.23456227,-12.27074535
ELAVL1,-5.929347225,-5.190392921,-5.267160976
C8orf82,-5.627532416,-6.317772967,-5.843493697
OSBPL11,-4.093266213,-4.119313408,-3.514341918
CCDC124,-10.01133877,-10.04496686,-10.74545887
TNKS1BP1,-5.943673131,-5.187133101,-5.558401388
PRRC2B,-3.946571113,-3.91986408,-3.317505446
LRRC14,-4.682946849,-5.399498804,-4.978081621
SCMH1,-1.833776468,-1.072684757,-1.133296755
ARPC4,-6.715010231,-6.01190114,-6.149756057
RETSAT,-6.079442053,-5.323229161,-5.411680819
RPL4,-7.461739252,-6.737129611,-6.786917671
KLHL7,-2.798473622,-2.741397429,-2.281239632
AIP,-4.810188665,-4.537138066,-5.295687771
SENP3,-4.017248249,-4.748509273,-4.132178119
REPIN1,-2.144976189,-1.798405951,-1.587863107
DRD2,-4.267484963,-4.61450565,-4.837321983
POLR2B,-5.265402465,-5.812186712,-4.997043967
PPP6C,-6.23326308,-5.8058477,-5.974236244
THUMPD1,-11.99662528,-11.75386458,-12.21810766
ACBD3,-6.10887001,-6.665636194,-6.828856463
KIAA1549,-4.260106379,-4.427479207,-3.703633332
PELI2,-4.306800283,-3.687882125,-4.363888423
KIFAP3,-3.896059208,-4.436886066,-3.884652176
EDIL3,-9.153401599,-9.973166049,-9.40822728
TRIP11,-5.206591044,-4.675078094,-5.281654458
B3GAT3,-4.274627537,-4.153248239,-3.67943124
DNM1L,-12.83683766,-12.93817987,-12.98993735
DIABLO,-5.883112973,-5.919163679,-5.250185857
GDI1,-8.104931364,-8.122654801,-8.89835263
RUNDC3A,-4.958477646,-4.706891949,-5.557157434
MIA3,-5.209622314,-4.823903452,-5.656892006
ACOX1,-5.340796368,-5.659866523,-4.944796528
ERP29,-5.894749409,-5.208484699,-5.049514156
SLC35E2B,-0.770764079,-1.022859776,-1.142528634
PHF24,-11.55328787,-11.22509653,-11.05744359
PARP1,-11.59740528,-11.33363306,-10.90270496
LANCL2,-6.752030218,-6.545927875,-5.995963787
TSEN34,-4.31838933,-4.249343354,-3.67749257
ZER1,-4.0319404,-3.408966234,-4.008683629
LONP2,-5.71111371,-5.45755188,-4.926479917
PABPC4,-9.801699014,-9.403997421,-10.18783447
SRP9,-4.163286268,-4.201359853,-4.164001839
SRSF9,-7.835939844,-8.513784771,-8.508461498
IST1,-12.05223163,-11.42327524,-11.29684204
COL26A1,-12.47412831,-13.04862166,-12.79567116
TSN,-5.221066405,-5.997612446,-5.62995979
APPL1,-5.867456661,-5.418463838,-5.976556793
SLC25A40,-6.694644907,-6.222349268,-6.870185043
DYNC1I1,-6.211685514,-5.813181306,-5.416387894
LZTS3,-2.615247701,-2.188587556,-2.992457318
PDK3,-4.879211182,-4.362654022,-4.016112898
SNX9,-5.733587202,-5.941712041,-6.557556847
FLRT2,-2.847234706,-2.657767311,-3.532553086
HECA,-4.873096315,-4.007134206,-4.362966718
CMTR2,-1.440700425,-1.142667745,-1.028461055
APBB1,-2.809866439,-3.653321435,-3.17111055
RPN1,-6.331497456,-5.798386155,-5.47504252
PRKACA,-9.56891992,-8.951630673,-9.69573403
SPOCK1,-2.826435393,-2.964832462,-2.274780979
NPC2,-9.365079152,-8.552387036,-8.92668391
EIF4G2,-12.67993138,-12.36319213,-12.05800985
NAV1,-4.249596857,-5.061242588,-4.234923708
RBM12B,-11.69803836,-11.5271924,-12.04535907
EFNB1,-6.36304979,-7.190018892,-6.363572253
NUP88,-6.404627884,-7.255163452,-6.781346124
CARMIL2,-7.125042855,-7.974678027,-7.164088729
SLC25A25,3.544502794,3.841197538,3.836002792
EPHA5,-0.751476195,-0.511684578,-0.141851327
DVL3,-11.77020927,-11.07533022,-11.06165066
OSBPL9,-4.543395143,-5.014958098,-4.138503476
IPO7,-12.4792874,-12.28857818,-12.77012735
PLEKHJ1,1.165503965,1.075684591,0.758341135
COPG2,-6.089271723,-6.829946316,-6.473255336
EGLN1,-4.906628807,-4.646435949,-5.552269204
SCARB2,-5.501276923,-5.409502696,-4.751498732
TMEM106B,-2.719222608,-2.999599497,-2.427648374
PACSIN2,-5.585252781,-5.934936587,-6.489218274
FBXO22,-5.950232252,-6.522567005,-5.616151485
KATNAL1,-10.41866591,-9.743996273,-9.525866526
ANK3,-11.11235889,-11.47064943,-10.80794182
PA2G4,-12.39765867,-12.36289142,-13.00799077
ELAVL3,-8.10655943,-7.49082986,-7.198514026
PHF20L1,-4.473645367,-5.370072772,-4.897005315
FRMD4A,-7.037539149,-7.822972137,-7.672484216
IGDCC3,-4.947621456,-5.318549024,-4.445225313
CTC1,-0.165803504,-0.502300718,-0.423214715
PKP4,-3.927298767,-3.120148664,-3.066061478
PPP2R2A,-4.759448424,-5.278398096,-4.368706441
TENM4,-10.88909613,-10.42354156,-10.01582173
SORCS3,-3.724012179,-3.361206627,-3.530759978
PTPN2,-2.583254332,-3.344525879,-2.752795246
MCRS1,-4.090202989,-3.260130895,-3.176365946
MRPL3,-3.182569005,-3.94750488,-3.174515556
AGO2,-12.79460612,-12.53070413,-12.16505367
SIN3A,-4.669424199,-4.029966011,-4.838165046
PTPRT,-4.041019826,-4.973615835,-4.443671609
PPP1R3F,-5.805443734,-4.861144854,-5.151171814
IRF2BPL,-4.441960123,-4.81910244,-5.3878087
SUB1,-8.193784206,-9.065698336,-8.599602508
FYN,-4.863674694,-5.67512051,-5.060648001
TERF2IP,-5.985518948,-5.042620356,-5.143180761
SEC16A,-5.245329795,-4.994960656,-5.964309475