PG.Genes.neurite,ConditionNorm_P_300_1_log2_neurite,ConditionNorm_P_300_2_log2_neurite,ConditionNorm_P_300_3_log2_neurite,PG.Genes.tc,ConditionNorm_P_300_1_log2_tc,ConditionNorm_P_300_2_log2_tc,ConditionNorm_P_300_3_log2_tc,Condition,Replicate,Value
,,,,,,,,Neurite,2,-5.629142936
,,,,,,,,Neurite,2,-4.567068671
,,,,,,,,Neurite,2,-5.151840605
,,,,,,,,Neurite,2,-3.579441743
,,,,,,,,Neurite,2,-1.92515639
,,,,,,,,Neurite,2,-5.53793551
,,,,,,,,Neurite,2,-2.91029594
,,,,,,,,Neurite,2,-4.370781137
,,,,,,,,Neurite,2,-6.814170736
,,,,,,,,Neurite,2,-3.107335321
,,,,,,,,Neurite,2,-2.716941205
,,,,,,,,Neurite,2,-4.014840236
,,,,,,,,Neurite,2,-3.501601593
,,,,,,,,Neurite,2,-3.069643404
,,,,,,,,Neurite,2,-2.544037757
,,,,,,,,Neurite,2,-5.526524456
,,,,,,,,Neurite,2,-4.592001791
,,,,,,,,Neurite,2,-4.611272011
,,,,,,,,Neurite,2,-3.725559845
,,,,,,,,Neurite,2,-2.392025498
,,,,,,,,Neurite,2,-4.070052354
,,,,,,,,Neurite,2,-3.903779078
,,,,,,,,Neurite,2,-5.104680429
,,,,,,,,Neurite,2,-4.013834948
,,,,,,,,Neurite,2,-3.070571698
,,,,,,,,Neurite,2,-4.01872653
,,,,,,,,Neurite,2,-4.193500259
,,,,,,,,Neurite,2,-3.206307757
,,,,,,,,Neurite,2,-2.037788798
,,,,,,,,Neurite,2,-5.309504332
,,,,,,,,Neurite,2,-3.497338834
,,,,,,,,Neurite,2,-1.891375617
,,,,,,,,Neurite,2,-3.969700902
,,,,,,,,Neurite,2,-3.209118222
,,,,,,,,Neurite,2,-2.996264645
,,,,,,,,Neurite,2,-5.165043558
,,,,,,,,Neurite,2,-3.832796145
,,,,,,,,Neurite,2,-5.281053531
,,,,,,,,Neurite,2,-3.107570379
,,,,,,,,Neurite,2,-2.155920656
,,,,,,,,Neurite,2,-2.355914519
,,,,,,,,Neurite,2,-3.365309565
,,,,,,,,Neurite,2,-3.12432598
,,,,,,,,Neurite,2,-3.803680201
,,,,,,,,Neurite,2,-4.344205253
,,,,,,,,Neurite,2,-7.133196479
,,,,,,,,Neurite,2,-3.479021204
,,,,,,,,Neurite,2,-2.619285611
,,,,,,,,Neurite,2,-5.87110823
,,,,,,,,Neurite,2,-2.973119828
,,,,,,,,Neurite,2,-3.619860368
,,,,,,,,Neurite,2,-5.344666577
,,,,,,,,Neurite,2,-2.507323409
,,,,,,,,Neurite,2,-2.322333491
,,,,,,,,Neurite,2,-2.827236033
,,,,,,,,Neurite,2,-4.323587042
,,,,,,,,Neurite,2,-2.482832112
,,,,,,,,Neurite,2,-3.447897427
,,,,,,,,Neurite,2,-5.22887115
,,,,,,,,Neurite,2,-1.985444337
,,,,,,,,Neurite,2,-3.614902136
,,,,,,,,Neurite,2,-2.155533423
,,,,,,,,Neurite,2,-4.239635055
,,,,,,,,Neurite,2,-2.612173619
,,,,,,,,Neurite,2,-5.037969957
,,,,,,,,Neurite,2,-7.639445147
,,,,,,,,Neurite,2,-2.093315094
,,,,,,,,Neurite,2,-5.142535037
,,,,,,,,Neurite,2,-4.543424763
,,,,,,,,Neurite,2,-4.593433925
,,,,,,,,Neurite,2,-4.140246505
,,,,,,,,Neurite,2,-4.162327757
,,,,,,,,Neurite,2,-2.78616561
,,,,,,,,Neurite,2,-3.025211537
,,,,,,,,Neurite,2,-3.139859099
,,,,,,,,Neurite,2,-4.391892061
,,,,,,,,Neurite,2,-2.635221367
,,,,,,,,Neurite,2,-4.946806392
,,,,,,,,Neurite,2,-3.834497764
,,,,,,,,Neurite,2,-2.464920951
,,,,,,,,Neurite,2,-5.584853465
,,,,,,,,Neurite,2,-2.700841206
,,,,,,,,Neurite,2,-4.515064691
,,,,,,,,Neurite,2,-5.258360121
,,,,,,,,Neurite,2,-5.094064568
,,,,,,,,Neurite,2,-4.356380458
,,,,,,,,Neurite,2,-2.898544352
,,,,,,,,Neurite,2,-1.479690783
,,,,,,,,Neurite,2,-4.151618327
,,,,,,,,Neurite,2,-4.23810584
,,,,,,,,Neurite,2,-3.16901247
,,,,,,,,Neurite,2,-2.552471891
,,,,,,,,Neurite,2,-4.315783458
,,,,,,,,Neurite,2,-4.550474175
,,,,,,,,Neurite,2,-3.943749293
,,,,,,,,Neurite,2,-8.339265973
,,,,,,,,Neurite,2,-5.465270084
,,,,,,,,Neurite,2,-2.306268191
,,,,,,,,Neurite,2,-3.665428923
,,,,,,,,Neurite,2,-7.762776288
,,,,,,,,Neurite,2,0.604215873
,,,,,,,,Neurite,2,-6.984859386
,,,,,,,,Neurite,2,-2.79041689
,,,,,,,,Neurite,2,-5.245514481
,,,,,,,,Neurite,2,-4.439623506
,,,,,,,,Neurite,2,-4.053538042
,,,,,,,,Neurite,2,-6.729401264
,,,,,,,,Neurite,2,-2.651705436
,,,,,,,,Neurite,2,-3.271894924
,,,,,,,,Neurite,2,-5.148989786
,,,,,,,,Neurite,2,-6.624951046
,,,,,,,,Neurite,2,-3.795437589
,,,,,,,,Neurite,2,-3.409263038
,,,,,,,,Neurite,2,-5.252865685
,,,,,,,,Neurite,2,-3.184166022
,,,,,,,,Neurite,2,-4.58904775
,,,,,,,,Neurite,2,-3.412926329
,,,,,,,,Neurite,2,-6.351307349
,,,,,,,,Neurite,2,-6.247133035
,,,,,,,,Neurite,2,-6.095413455
,,,,,,,,Neurite,2,-5.17004592
,,,,,,,,Neurite,2,-3.290865381
,,,,,,,,Neurite,2,-4.018368581
,,,,,,,,Neurite,2,-2.924223389
,,,,,,,,Neurite,2,-1.61947295
,,,,,,,,Neurite,2,-3.292877524
,,,,,,,,Neurite,2,-5.44081409
,,,,,,,,Neurite,2,-4.885897883
,,,,,,,,Neurite,2,-5.12970018
,,,,,,,,Neurite,2,-6.676102425
,,,,,,,,Neurite,2,-4.311941441
,,,,,,,,Neurite,2,-6.687287414
,,,,,,,,Neurite,2,-5.657638095
,,,,,,,,Neurite,2,-5.605880463
,,,,,,,,Neurite,2,-6.782668147
,,,,,,,,Neurite,2,-4.876104687
,,,,,,,,Neurite,2,-6.002185011
,,,,,,,,Neurite,2,-6.660461545
,,,,,,,,Neurite,2,-1.389499771
,,,,,,,,Neurite,2,-3.379051687
,,,,,,,,Neurite,2,-6.063519225
,,,,,,,,Neurite,2,-3.45728992
,,,,,,,,Neurite,2,-4.928755795
,,,,,,,,Neurite,2,-4.642595126
,,,,,,,,Neurite,3,-6.5836015
,,,,,,,,Neurite,3,-3.8097124
,,,,,,,,Neurite,3,-3.7515197
,,,,,,,,Neurite,3,-6.3383051
,,,,,,,,Neurite,3,-5.4959651
,,,,,,,,Neurite,3,-6.5356748
,,,,,,,,Neurite,3,-7.5635245
,,,,,,,,Neurite,3,-4.072047
,,,,,,,,Neurite,3,-0.9964832
,,,,,,,,Neurite,3,-2.7547175
,,,,,,,,Neurite,3,-4.4778161
,,,,,,,,Neurite,3,-5.5972431
,,,,,,,,Neurite,3,-6.5333749
,,,,,,,,Neurite,3,-9.1069073
,,,,,,,,Neurite,3,-4.2502501
,,,,,,,,Neurite,3,-4.839506
,,,,,,,,Neurite,3,-5.924115
,,,,,,,,Neurite,3,-3.4733634
,,,,,,,,Neurite,3,-5.6660779
,,,,,,,,Neurite,3,-3.5550398
,,,,,,,,Neurite,3,-2.3166681
,,,,,,,,Neurite,3,-5.3772874
,,,,,,,,Neurite,3,-4.8787433
,,,,,,,,Neurite,3,-2.4570021
,,,,,,,,Neurite,3,-1.7516219
,,,,,,,,Neurite,3,-3.115277
,,,,,,,,Neurite,3,-2.9000462
,,,,,,,,Neurite,3,-9.4697216
,,,,,,,,Neurite,3,-8.3168879
,,,,,,,,Neurite,3,-2.9781196
,,,,,,,,Neurite,3,-3.8274813
,,,,,,,,Neurite,3,-5.7738682
,,,,,,,,Neurite,3,-4.8722257
,,,,,,,,Neurite,3,-5.0186312
,,,,,,,,Neurite,3,-3.784562
,,,,,,,,Neurite,3,-1.9315763
,,,,,,,,Neurite,3,-5.8943361
,,,,,,,,Neurite,3,-3.3327492
,,,,,,,,Neurite,3,-4.6960485
,,,,,,,,Neurite,3,-6.6894899
,,,,,,,,Neurite,3,-3.2546999
,,,,,,,,Neurite,3,-3.2101697
,,,,,,,,Neurite,3,-4.513876
,,,,,,,,Neurite,3,-3.6974564
,,,,,,,,Neurite,3,-3.3166146
,,,,,,,,Neurite,3,-2.9922327
,,,,,,,,Neurite,3,-5.7886593
,,,,,,,,Neurite,3,-4.9527699
,,,,,,,,Neurite,3,-5.0732967
,,,,,,,,Neurite,3,-4.2655359
,,,,,,,,Neurite,3,-2.2071198
,,,,,,,,Neurite,3,-4.5539013
,,,,,,,,Neurite,3,-4.4472317
,,,,,,,,Neurite,3,-5.336074
,,,,,,,,Neurite,3,-4.3564407
,,,,,,,,Neurite,3,-2.5460797
,,,,,,,,Neurite,3,-4.2038508
,,,,,,,,Neurite,3,-4.7741442
,,,,,,,,Neurite,3,-3.812894
,,,,,,,,Neurite,3,-2.6015996
,,,,,,,,Neurite,3,-5.3819614
,,,,,,,,Neurite,3,-3.5230458
,,,,,,,,Neurite,3,-2.4770138
,,,,,,,,Neurite,3,-3.8976148
,,,,,,,,Neurite,3,-3.2620625
,,,,,,,,Neurite,3,-3.6278714
,,,,,,,,Neurite,3,-5.4934346
,,,,,,,,Neurite,3,-4.2352501
,,,,,,,,Neurite,3,-5.8663123
,,,,,,,,Neurite,3,-2.6961428
,,,,,,,,Neurite,3,-2.7877271
,,,,,,,,Neurite,3,-3.0003403
,,,,,,,,Neurite,3,-4.0128203
,,,,,,,,Neurite,3,-3.6435049
,,,,,,,,Neurite,3,-4.1299615
,,,,,,,,Neurite,3,-4.9052824
,,,,,,,,Neurite,3,-6.8998066
,,,,,,,,Neurite,3,-3.7668433
,,,,,,,,Neurite,3,-3.2350224
,,,,,,,,Neurite,3,-6.4774621
,,,,,,,,Neurite,3,-3.2885912
,,,,,,,,Neurite,3,-4.0975634
,,,,,,,,Neurite,3,-6.0065025
,,,,,,,,Neurite,3,-2.8144098
,,,,,,,,Neurite,3,-2.8947951
,,,,,,,,Neurite,3,-3.2032026
,,,,,,,,Neurite,3,-5.0356026
,,,,,,,,Neurite,3,-2.4731645
,,,,,,,,Neurite,3,-3.9559807
,,,,,,,,Neurite,3,-5.6011935
,,,,,,,,Neurite,3,-2.6615476
,,,,,,,,Neurite,3,-4.3111737
,,,,,,,,Neurite,3,-2.3383697
,,,,,,,,Neurite,3,-4.9021151
,,,,,,,,Neurite,3,-3.0412541
,,,,,,,,Neurite,3,-5.5699137
,,,,,,,,Neurite,3,-7.0755716
,,,,,,,,Neurite,3,-2.7105093
,,,,,,,,Neurite,3,-4.7377364
,,,,,,,,Neurite,3,-5.2569156
,,,,,,,,Neurite,3,-3.8372212
,,,,,,,,Neurite,3,-4.7430734
,,,,,,,,Neurite,3,-4.933461
,,,,,,,,Neurite,3,-3.5043254
,,,,,,,,Neurite,3,-3.7670452
,,,,,,,,Neurite,3,-3.9072807
,,,,,,,,Neurite,3,-4.5062647
,,,,,,,,Neurite,3,-3.4327988
,,,,,,,,Neurite,3,-5.7287173
,,,,,,,,Neurite,3,-4.6203458
,,,,,,,,Neurite,3,-3.2805155
,,,,,,,,Neurite,3,-4.877382
,,,,,,,,Neurite,3,-3.5089727
,,,,,,,,Neurite,3,-5.0191423
,,,,,,,,Neurite,3,-4.5925088
,,,,,,,,Neurite,3,-5.6910366
,,,,,,,,Neurite,3,-3.7363971
,,,,,,,,Neurite,3,-3.6694687
,,,,,,,,Neurite,3,-1.0231317
,,,,,,,,Neurite,3,-4.7555741
,,,,,,,,Neurite,3,-5.049956
,,,,,,,,Neurite,3,-3.0833955
,,,,,,,,Neurite,3,-1.9537784
,,,,,,,,Neurite,3,-5.1243056
,,,,,,,,Neurite,3,-5.3204175
,,,,,,,,Neurite,3,-3.5159463
,,,,,,,,Neurite,3,-8.9892841
,,,,,,,,Neurite,3,-6.1601953
,,,,,,,,Neurite,3,-2.8370814
,,,,,,,,Neurite,3,-4.431801
,,,,,,,,Neurite,3,-8.6480488
,,,,,,,,Neurite,3,0.49371575
,,,,,,,,Neurite,3,-7.0286097
,,,,,,,,Neurite,3,-2.343241
,,,,,,,,Neurite,3,-5.7911012
,,,,,,,,Neurite,3,-5.339261
,,,,,,,,Neurite,3,-3.8322782
,,,,,,,,Neurite,3,-6.3494813
,,,,,,,,Neurite,3,-3.4972352
,,,,,,,,Neurite,3,-3.9611573
,,,,,,,,Neurite,3,-5.5061821
,,,,,,,,Neurite,3,-5.8814776
,,,,,,,,Neurite,3,-4.7361481
,,,,,,,,Neurite,3,-4.3933892
,,,,,,,,Neurite,3,-5.0959089
,,,,,,,,Neurite,3,-3.9607119
,,,,,,,,Neurite,3,-5.5735962
,,,,,,,,Neurite,3,-4.3108171
,,,,,,,,Neurite,3,-5.6878983
,,,,,,,,Neurite,3,-5.4470746
,,,,,,,,Neurite,3,-5.6519023
,,,,,,,,Neurite,3,-6.0767408
,,,,,,,,Neurite,3,-4.1643249
,,,,,,,,Neurite,3,-3.3115937
,,,,,,,,Neurite,3,-2.9963773
,,,,,,,,Neurite,3,-1.4424146
,,,,,,,,Neurite,3,-3.7508066
,,,,,,,,Neurite,3,-5.5573873
,,,,,,,,Neurite,3,-5.734443
,,,,,,,,Neurite,3,-5.572769
,,,,,,,,Neurite,3,-7.2661822
,,,,,,,,Neurite,3,-4.6444079
,,,,,,,,Neurite,3,-5.9406533
,,,,,,,,Neurite,3,-4.7202438
,,,,,,,,Neurite,3,-5.980874
,,,,,,,,Neurite,3,-7.4276342
,,,,,,,,Neurite,3,-5.8848146
,,,,,,,,Neurite,3,-5.1767186
,,,,,,,,Neurite,3,-7.7225213
,,,,,,,,Neurite,3,-2.2339374
,,,,,,,,Neurite,3,-3.4065803
,,,,,,,,Neurite,3,-6.5658543
,,,,,,,,Neurite,3,-4.5239944
,,,,,,,,Neurite,3,-4.6398115
,,,,,,,,Neurite,3,-5.1602167
,,,,,,,,Total Cell,1,-1.375435109
,,,,,,,,Total Cell,1,-1.812626148
,,,,,,,,Total Cell,1,-3.843557855
,,,,,,,,Total Cell,1,-2.956723749
,,,,,,,,Total Cell,1,-4.217794344
,,,,,,,,Total Cell,1,-3.264703891
,,,,,,,,Total Cell,1,-4.21700605
,,,,,,,,Total Cell,1,-2.865448156
,,,,,,,,Total Cell,1,-1.74802891
,,,,,,,,Total Cell,1,-2.747610689
,,,,,,,,Total Cell,1,-2.085220212
,,,,,,,,Total Cell,1,-7.331248253
,,,,,,,,Total Cell,1,-1.69506513
,,,,,,,,Total Cell,1,-2.820655416
,,,,,,,,Total Cell,1,-3.136479581
,,,,,,,,Total Cell,1,-6.95073257
,,,,,,,,Total Cell,1,-2.244391083
,,,,,,,,Total Cell,1,-2.956264985
,,,,,,,,Total Cell,1,-3.028827686
,,,,,,,,Total Cell,1,-2.210385762
,,,,,,,,Total Cell,1,-2.45360553
,,,,,,,,Total Cell,1,-2.586986478
,,,,,,,,Total Cell,1,-3.563130615
,,,,,,,,Total Cell,1,-2.779353446
,,,,,,,,Total Cell,1,-3.674795673
,,,,,,,,Total Cell,1,-3.435040323
,,,,,,,,Total Cell,1,-3.807294842
,,,,,,,,Total Cell,1,-3.836263877
,,,,,,,,Total Cell,1,-3.618351885
,,,,,,,,Total Cell,1,-3.830408649
,,,,,,,,Total Cell,1,-4.0876492
,,,,,,,,Total Cell,1,-5.924649272
,,,,,,,,Total Cell,1,-2.584003021
,,,,,,,,Total Cell,1,-0.809606353
,,,,,,,,Total Cell,1,-5.101135362
,,,,,,,,Total Cell,1,-1.770125839
,,,,,,,,Total Cell,1,-2.381588875
,,,,,,,,Total Cell,1,-5.404754102
,,,,,,,,Total Cell,1,-3.76911597
,,,,,,,,Total Cell,1,-4.222550914
,,,,,,,,Total Cell,1,-3.556307487
,,,,,,,,Total Cell,1,-1.925812156
,,,,,,,,Total Cell,1,-3.342003008
,,,,,,,,Total Cell,1,-5.005316502
,,,,,,,,Total Cell,1,-5.023391866
,,,,,,,,Total Cell,1,-4.728118082
,,,,,,,,Total Cell,1,-3.030217944
,,,,,,,,Total Cell,1,-4.484720265
,,,,,,,,Total Cell,1,-5.457370276
,,,,,,,,Total Cell,1,-2.355501017
,,,,,,,,Total Cell,1,-3.195535304
,,,,,,,,Total Cell,1,-7.177805192
,,,,,,,,Total Cell,1,-3.728497525
,,,,,,,,Total Cell,1,-0.544674385
,,,,,,,,Total Cell,1,-5.438159771
,,,,,,,,Total Cell,1,-0.461554158
,,,,,,,,Total Cell,1,-2.675636989
,,,,,,,,Total Cell,1,-2.740352056
,,,,,,,,Total Cell,1,-4.707224982
,,,,,,,,Total Cell,1,-5.89121597
,,,,,,,,Total Cell,1,-5.403775755
,,,,,,,,Total Cell,1,-5.186817071
,,,,,,,,Total Cell,1,-4.988176618
,,,,,,,,Total Cell,1,-4.49789237
,,,,,,,,Total Cell,1,-4.902073258
,,,,,,,,Total Cell,1,-3.308072876
,,,,,,,,Total Cell,1,-2.486963688
,,,,,,,,Total Cell,1,-2.918201822
,,,,,,,,Total Cell,1,-6.496299908
,,,,,,,,Total Cell,1,-6.532009152
,,,,,,,,Total Cell,1,-2.735501012
,,,,,,,,Total Cell,1,-4.762040847
,,,,,,,,Total Cell,1,-5.646830396
,,,,,,,,Total Cell,1,-3.645069866
,,,,,,,,Total Cell,1,-5.641093646
,,,,,,,,Total Cell,1,-6.919165256
,,,,,,,,Total Cell,2,-1.3419948
,,,,,,,,Total Cell,2,-1.7685379
,,,,,,,,Total Cell,2,-3.8602355
,,,,,,,,Total Cell,2,-2.750363
,,,,,,,,Total Cell,2,-4.4257384
,,,,,,,,Total Cell,2,-3.076939
,,,,,,,,Total Cell,2,-4.2141274
,,,,,,,,Total Cell,2,-2.9994149
,,,,,,,,Total Cell,2,-1.8743439
,,,,,,,,Total Cell,2,-2.5033964
,,,,,,,,Total Cell,2,-2.3004521
,,,,,,,,Total Cell,2,-7.4757457
,,,,,,,,Total Cell,2,-1.8229729
,,,,,,,,Total Cell,2,-3.116252
,,,,,,,,Total Cell,2,-2.7323363
,,,,,,,,Total Cell,2,-6.6970091
,,,,,,,,Total Cell,2,-2.1123504
,,,,,,,,Total Cell,2,-3.2925671
,,,,,,,,Total Cell,2,-3.1111319
,,,,,,,,Total Cell,2,-2.0880278
,,,,,,,,Total Cell,2,-2.5024903
,,,,,,,,Total Cell,2,-2.5317728
,,,,,,,,Total Cell,2,-3.6835357
,,,,,,,,Total Cell,2,-2.8821426
,,,,,,,,Total Cell,2,-4.0688114
,,,,,,,,Total Cell,2,-3.2186798
,,,,,,,,Total Cell,2,-3.7802639
,,,,,,,,Total Cell,2,-3.6354262
,,,,,,,,Total Cell,2,-3.5262937
,,,,,,,,Total Cell,2,-4.3922827
,,,,,,,,Total Cell,2,-4.0636036
,,,,,,,,Total Cell,2,-5.5986129
,,,,,,,,Total Cell,2,-3.0291032
,,,,,,,,Total Cell,2,-1.0747083
,,,,,,,,Total Cell,2,-4.404485
,,,,,,,,Total Cell,2,-2.0638141
,,,,,,,,Total Cell,2,-1.7056343
,,,,,,,,Total Cell,2,-4.6382094
,,,,,,,,Total Cell,2,-3.9425496
,,,,,,,,Total Cell,2,-4.1443083
,,,,,,,,Total Cell,2,-3.40736
,,,,,,,,Total Cell,2,-2.6104709
,,,,,,,,Total Cell,2,-3.5865554
,,,,,,,,Total Cell,2,-5.3158244
,,,,,,,,Total Cell,2,-4.6207031
,,,,,,,,Total Cell,2,-4.9070004
,,,,,,,,Total Cell,2,-3.0220184
,,,,,,,,Total Cell,2,-5.041027
,,,,,,,,Total Cell,2,-4.7482041
,,,,,,,,Total Cell,2,-1.8980733
,,,,,,,,Total Cell,2,-3.9455197
,,,,,,,,Total Cell,2,-6.6685973
,,,,,,,,Total Cell,2,-3.6157526
,,,,,,,,Total Cell,2,-0.6548145
,,,,,,,,Total Cell,2,-5.4411912
,,,,,,,,Total Cell,2,-0.5861416
,,,,,,,,Total Cell,2,-2.181454
,,,,,,,,Total Cell,2,-2.6817608
,,,,,,,,Total Cell,2,-4.478974
,,,,,,,,Total Cell,2,-4.8907806
,,,,,,,,Total Cell,2,-4.4015968
,,,,,,,,Total Cell,2,-6.1877987
,,,,,,,,Total Cell,2,-3.9855638
,,,,,,,,Total Cell,2,-5.5011089
,,,,,,,,Total Cell,2,-3.9028966
,,,,,,,,Total Cell,2,-4.310457
,,,,,,,,Total Cell,2,-2.9107856
,,,,,,,,Total Cell,2,-3.1123407
,,,,,,,,Total Cell,2,-5.4946331
,,,,,,,,Total Cell,2,-7.54252
,,,,,,,,Total Cell,2,-3.2502951
,,,,,,,,Total Cell,2,-5.3850909
,,,,,,,,Total Cell,2,-6.6569852
,,,,,,,,Total Cell,2,-3.308314
,,,,,,,,Total Cell,2,-5.743196
,,,,,,,,Total Cell,2,-5.9124914
,,,,,,,,Total Cell,3,-1.410245
,,,,,,,,Total Cell,3,-1.8591113
,,,,,,,,Total Cell,3,-3.9890908
,,,,,,,,Total Cell,3,-2.8699846
,,,,,,,,Total Cell,3,-4.2328428
,,,,,,,,Total Cell,3,-3.2916071
,,,,,,,,Total Cell,3,-4.3318945
,,,,,,,,Total Cell,3,-2.7415507
,,,,,,,,Total Cell,3,-2.020821
,,,,,,,,Total Cell,3,-2.4764612
,,,,,,,,Total Cell,3,-2.3524146
,,,,,,,,Total Cell,3,-7.6826434
,,,,,,,,Total Cell,3,-2.0807885
,,,,,,,,Total Cell,3,-3.1967435
,,,,,,,,Total Cell,3,-2.9752617
,,,,,,,,Total Cell,3,-6.5367963
,,,,,,,,Total Cell,3,-2.0199591
,,,,,,,,Total Cell,3,-3.0715765
,,,,,,,,Total Cell,3,-2.7216014
,,,,,,,,Total Cell,3,-2.5170273
,,,,,,,,Total Cell,3,-2.9274723
,,,,,,,,Total Cell,3,-3.026651
,,,,,,,,Total Cell,3,-3.89612
,,,,,,,,Total Cell,3,-3.2982461
,,,,,,,,Total Cell,3,-4.1405122
,,,,,,,,Total Cell,3,-3.7845993
,,,,,,,,Total Cell,3,-4.3120392
,,,,,,,,Total Cell,3,-3.2762332
,,,,,,,,Total Cell,3,-4.1260031
,,,,,,,,Total Cell,3,-3.7153968
,,,,,,,,Total Cell,3,-4.7268247
,,,,,,,,Total Cell,3,-6.301564
,,,,,,,,Total Cell,3,-2.5041914
,,,,,,,,Total Cell,3,-0.6327057
,,,,,,,,Total Cell,3,-4.8510098
,,,,,,,,Total Cell,3,-2.3475543
,,,,,,,,Total Cell,3,-2.1183337
,,,,,,,,Total Cell,3,-4.8303262
,,,,,,,,Total Cell,3,-4.5145004
,,,,,,,,Total Cell,3,-4.9121671
,,,,,,,,Total Cell,3,-4.2110543
,,,,,,,,Total Cell,3,-2.5133916
,,,,,,,,Total Cell,3,-3.8697909
,,,,,,,,Total Cell,3,-5.8415701
,,,,,,,,Total Cell,3,-4.9444926
,,,,,,,,Total Cell,3,-5.4604237
,,,,,,,,Total Cell,3,-3.8223641
,,,,,,,,Total Cell,3,-5.2583068
,,,,,,,,Total Cell,3,-5.3752049
,,,,,,,,Total Cell,3,-2.4857789
,,,,,,,,Total Cell,3,-3.8261739
,,,,,,,,Total Cell,3,-7.5033695
,,,,,,,,Total Cell,3,-4.4926441
,,,,,,,,Total Cell,3,-1.4421333
,,,,,,,,Total Cell,3,-5.2683487
,,,,,,,,Total Cell,3,-0.6653874
,,,,,,,,Total Cell,3,-3.0848484
,,,,,,,,Total Cell,3,-3.6119313
,,,,,,,,Total Cell,3,-3.8497982
,,,,,,,,Total Cell,3,-5.135731
,,,,,,,,Total Cell,3,-4.6473909
,,,,,,,,Total Cell,3,-5.4483439
,,,,,,,,Total Cell,3,-4.3347641
,,,,,,,,Total Cell,3,-4.8592154
,,,,,,,,Total Cell,3,-4.2769876
,,,,,,,,Total Cell,3,-3.4323758
,,,,,,,,Total Cell,3,-2.9107623
,,,,,,,,Total Cell,3,-3.7786296
,,,,,,,,Total Cell,3,-5.9274539
,,,,,,,,Total Cell,3,-6.6620298
,,,,,,,,Total Cell,3,-2.2575347
,,,,,,,,Total Cell,3,-5.4474327
,,,,,,,,Total Cell,3,-6.1371791
,,,,,,,,Total Cell,3,-3.5436028
,,,,,,,,Total Cell,3,-6.6891032
,,,,,,,,Total Cell,3,-6.4479379