PG.ProteinGroups,PG.Genes,Log2
Q5SYC1,CLVS2,-4.7322621700175500
Q8ND83,SLAIN1,-2.892042251514770
O14686,KMT2D,-3.145012515312020
Q9UQB3,CTNND2,-3.3649579266458700
Q96PE2,ARHGEF17,-2.584003021493340
Q8N2K0,ABHD12,-4.466060758915920
Q15262,PTPRK,-2.473164525431190
O60231,DHX16,-3.4478974269016600
P23470,PTPRG,-2.596049735663390
Q8N163,CCAR2,-4.9902231511298000
Q9UHG3,PCYOX1,-5.6011935352331500
O95479,H6PD,-4.5372464954589900
Q96S59,RANBP9,-2.319893851815320
Q9UI30,TRMT112,-3.6675084242450100
Q9BRS2,RIOK1,-2.155533423002540
Q9Y2S7,POLDIP2,-3.8006882117365700
Q8IYT2,CMTR2,-0.809606353241008
P43378,PTPN9,-2.601653330144650
P00387,CYB5R3,-4.3342797856005700
Q8NEY1,NAV1,-3.608801199306400
Q76I76,SSH2,-2.996206852737690
Q8WU79,SMAP2,-3.3982627074887300
P46060,RANGAP1,-9.24788629210292000
P07858,CTSB,-4.9469791346615000
O43173,ST8SIA3,-3.17671142801604
O75489,NDUFS3,-5.5699136621554600
Q7L523,RRAGA,-4.8510098067275800
Q9UHC6,CNTNAP2,-3.7590727695588400
Q02790,FKBP4,-8.05396347824562000
Q9Y4H2,IRS2,-1.692550991097560
P24666,ACP1,-3.9769646089018600
Q9HD26,GOPC,-3.6215437291014400
Q9NUM4,TMEM106B,-2.063814126866450
P17980,PSMC3,-7.32098589080576000
Q9NSI2,FAM207A,-2.093315093709410
Q15631,TSN,-4.6067373774032700
Q8N0V4,LGI2,-3.7043913064360700
Q08629,SPOCK1,-2.118333710778510
Q9BQ95,ECSIT,-4.7377363970953400
O75688,PPM1B,-4.5745899770192000
O60216,RAD21,-4.0130479730823500
Q6PI78,TMEM65,-4.9513321990099200
Q9NRW7,VPS45,-4.1493277069356700
Q9BWU0,SLC4A1AP,-2.936895094186560
O43292,GPAA1,-3.9165292933268700
Q13526,PIN1,-4.1402465049701400
Q9Y6X3,MAU2,-4.8303262131338200
O94776,MTA2,-2.550686806871160
A6NNY8,USP27X,-3.843054150823210
Q9NRF2,SH2B1,-3.9425496358699800
Q8N461,FBXL16,-3.4530628271057300
Q15386,UBE3C,-4.4825436960139200
Q86WA8,LONP2,-3.260388682378960
Q59EK9,RUNDC3A,-3.4540290432217300
Q92530,PSMF1,-3.4916194295024900
P29372,MPG,-3.175672095562640
Q9UH73,EBF1,-1.861872643640540
Q9H2X9,SLC12A5,-2.815057094643810
Q96S38,RPS6KC1,-4.3918920612746700
O15417,TNRC18,-1.900710784819590
O43602,DCX,-3.141690629698990
P09471,GNAO1,-6.0717701300580700
Q8N126,CADM3,-6.5213025471866400
Q9UI10,EIF2B4,-4.2225509144073000
Q52WX2,SBK1,-2.530464403606260
Q9BRP4,PAAF1,-3.5990216406282000
Q96EF0,MTMR8,-2.824047331668040
Q5H8A4,PIGG,-4.2991102724096400
Q9HAR2,ADGRL3,-2.858263265208670
A8MXV4,NUDT19,-4.1442338771178600
P48730,CSNK1D,-2.542657177311880
Q9NYB0,TERF2IP,-4.4479598753665700
Q9H1B7,IRF2BPL,-2.679897777003550
P18615,NELFE,-3.026608729351030
O94766,B3GAT3,-3.5108477547663800
Q6R2W3,ZBED9,-2.413832920281860
Q96F63,CCDC97,-3.5563074870137300
Q9HCN4,GPN1,-3.775575129954320
Q15785,TOMM34,-3.9801498778696500
P48664,SLC1A6,-2.513391577445380
Q9HCQ5,GALNT9,-2.166398904947360
Q9UHV9,PFDN2,-5.0057627225665000
Q9NVG8,TBC1D13,-3.194342623879910
Q96C86,DCPS,-9.47514615283022000
P11717,IGF2R,-5.1454441374055500
Q09019,DMWD,-2.497860893645470
Q6ZT07,TBC1D9,-2.149260905798150
P56211,ARPP19,-3.5529387778673000
Q9BZK7,TBL1XR1,-2.586763324004270
Q5GH76,XKR4,-3.8935836888208500
Q96AQ6,PBXIP1,-5.4340013603487000
Q53EL6,PDCD4,-2.811281457255460
P62879,GNB2,-4.9516142086018600
O75127,PTCD1,-3.108311109863340
O95639,CPSF4,-3.5865553718673000
Q9Y5I4,PCDHAC2,-3.9856275479691200
P21281,ATP6V1B2,-5.3158243885515200
A4D1P6,WDR91,-4.9444925791265200
Q8WXF7,ATL1,-9.02416179170941000
Q9NVN3,RIC8B,-5.0191422675661900
Q15375,EPHA7,-2.491446347680440
Q92871,PMM1,-5.2516904291306000
Q12765,SCRN1,-4.546511634918120
P31629,HIVEP2,-2.011531470549430
Q9Y6E2,BZW2,-4.8379804517153500
P50148,GNAQ,-4.9806947767379900
O43865,AHCYL1,-4.907000415684330
Q96Q42,ALS2,-4.2954765171700600
Q12974,PTP4A2,-5.2171088776211900
Q9Y2X7,GIT1,-4.494750459731080
Q9H7B2,RPF2,-7.21917609331294000
Q96IG2,FBXL20,-4.3563804579087000
P60880,SNAP25,-4.6656275220521900
Q9UGL1,KDM5B,-2.706514254219060
O43252,PAPSS1,-2.898544352357670
O43924,PDE6D,-3.030217943761460
Q9H0S4,DDX47,-5.0410270331222900
Q9BQA1,WDR77,-5.3752048670327300
Q6DKI1,RPL7L1,-5.481412530561090
P17028,ZNF24,-3.051409982614230
Q15742,NAB2,-2.35550101731621
Q6ZN54,DEF8,-1.378173877282000
Q8TC07,TBC1D15,-4.7462742925647100
Q9H2C0,GAN,-4.1516183273773300
Q5RI15,COX20,-4.2381058404500900
Q9BYV9,BACH2,-2.787841558785880
Q13596,SNX1,-4.7827425720331100
Q16560,SNRNP35,-5.0233040883131100
Q15717,ELAVL1,-3.9923706185657700
P18433,PTPRA,-3.083395486140460
O94952,FBXO21,-2.441283269151830
Q96EZ8,MCRS1,-3.292934287421370
P04049,RAF1,-5.2627376142873400
Q9UFF9,CNOT8,-4.1701117684972300
Q9P2R6,RERE,-2.552471891298610
Q53GL0,PLEKHO1,-9.274145189734470
O43854,EDIL3,-8.18463908475059000
Q9H496,TOR1AIP2,-3.065310403409640
P38117,ETFB,-5.8939990666049200
Q8NI60,COQ8A,-3.8261739364214800
Q15771,RAB30,-3.070906744489940
Q9Y6I4,USP3,-4.3157834584523700
Q86TP1,PRUNE1,-4.5504741748995200
Q8N6N2,TTC9B,-3.5159463363154500
P30086,PEBP1,-8.33926597295975000
P15289,ARSA,-7.17780519183802000
Q3YEC7,RABL6,-5.5715666808534200
Q13449,LSAMP,-6.66444736934481000
Q92945,KHSRP,-4.2017891676918200
Q9Y4F1,FARP1,-5.5474585684666100
Q9UBU9,NXF1,-3.7284975251287200
O95319,CELF2,-3.228664887023700
Q92692,NECTIN2,-5.1949166832464800
Q2KHT3,CLEC16A,-2.319040217187190
P33991,MCM4,-3.012986108234560
P68106,FKBP1B,-3.6654289230775400
O94967,WDR47,-7.8773687438311700
Q9Y4X4,KLF12,-2.755924213114650
Q9BRR6,ADPGK,-5.6319843066971500
Q96T76,MMS19,-4.9650642101388000
P49641,MAN2A2,-2.379234611775310
Q9NRL3,STRN4,-4.2850246870845700
Q86WB0,ZC3HC1,-5.4295665019183000
Q86VW0,SESTD1,-3.4253211681958300
Q9P258,RCC2,-3.9845941884869100
Q9P2R3,ANKFY1,-5.4426820004614900
O60347,TBC1D12,0.49371575362602
O00451,GFRA2,-3.085687249996440
P19388,POLR2E,-6.98485938612334000
Q6ULP2,AFTPH,-2.427663073389760
Q9UBF2,COPG2,-5.9808368130388000
Q8IV38,ANKMY2,-2.9632410072562
Q9BX66,SORBS1,-4.4443737976073900
Q96T37,RBM15,-6.2687369650216900
Q8NAV1,PRPF38A,-5.8157526761622600
Q9Y6D9,MAD1L1,-2.752672394462740
Q15904,ATP6AP1,-5.4276531606731500
Q3SXM5,HSDL1,-6.1511635819834300
Q5MIZ7,PPP4R3B,-2.343240990926740
Q9NS39,ADARB2,-0.654814473921599
Q8NF37,LPCAT1,-5.1320975138448000
Q96S90,LYSMD1,-3.8922176852298400
P78559,MAP1A,-5.2455144813523600
Q9GZR7,DDX24,-5.4381597713302100
P53396,ACLY,-9.77525723222721000
Q8IVL0,NAV3,-4.4824215978583600
Q9BZR6,RTN4R,-0.586141615290621
O60291,MGRN1,-3.7232328016676500
Q9BZ72,PITPNM2,-3.7912548004698300
Q8N5Y2,MSL3,-5.6651457469085800
P04062,GBA,-6.0722055972985900
P49815,TSC2,-4.3387309988590000
Q96RT7,TUBGCP6,-2.675636988620030
Q9Y2X0,MED16,-5.5659978500570400
Q9Y2G0,EFR3B,-4.0535380420356200
O00487,PSMD14,-6.3494812668367900
Q9H3K2,GHITM,-5.8464514659615000
Q8IV32,CCDC71,-2.113580072633870
Q9Y2E5,MAN2B2,-6.2427855980444100
Q92618,ZNF516,-2.458418694569220
Q8N9R8,SCAI,-4.8281854087473100
Q5JU69,TOR2A,-3.16568071316899
Q08AM6,VAC14,-5.0174968418298700
Q9BTE3,MCMBP,-5.544155671890160
P78356,PIP4K2B,-4.2529746809753300
Q9UBB4,ATXN10,-2.651705435802280
Q643R3,LPCAT4,-2.740352055513680
Q9HCD6,TANC2,-3.3875743176491000
P23443,RPS6KB1,-3.271894924054100
P62847,RPS24,-5.320801831851450
O00468,AGRN,-4.1316934831181800
Q16827,PTPRO,-3.015525800011510
P62937,PPIA,-5.8814775757215900
Q93050,ATP6V0A1,-4.639512943983300
Q9BSV6,TSEN34,-1.746974862681610
Q9P0K9,FRRS1L,3.4421579340189
P51148,RAB5C,-4.251537667515030
O95757,HSPA4L,-3.4726703498544200
P08579,SNRPB2,-4.7287297892169900
O14531,DPYSL4,-9.67415533357361000
P62380,TBPL1,-3.6193767087250900
O95819,MAP4K4,-4.8961951876420100
Q9UBI9,HECA,-3.4529838483247500
Q5GH72,XKR7,-6.0183435780584600
P62263,RPS14,-5.0959088937230900
P78318,IGBP1,-3.184166022408720
O15020,SPTBN2,-4.9489170123495100
Q8NBJ7,SUMF2,-3.5222535228913400
Q8WZ82,OVCA2,-4.9662212446824400
O95340,PAPSS2,-3.233731116971940
Q5T8D3,ACBD5,-4.1657215719295900
O75882,ATRN,-3.300228147091040
Q12923,PTPN13,-5.6878982787009600
Q6DKJ4,NXN,-3.9614799521915900
Q147X3,NAA30,-4.4789739736882400
Q6P1R4,DUS1L,-3.6946738037525400
Q2TAL8,QRICH1,-1.596022057422520
O96000,NDUFB10,-5.4470745576267300
P54098,POLG,-5.1357310258433500
Q9Y5B9,SUPT16H,-7.10215047316851000
P30048,PRDX3,-5.9294481418309400
Q68CQ4,DIEXF,-4.0916713391921300
Q9Y5E9,PCDHB14,-4.6473908581794400
Q8TCT7,SPPL2B,-5.4483439225692100
O60245,PCDH7,-3.4119319911226100
P43004,SLC1A2,-4.8670684389734700
Q96K37,SLC35E1,-4.1329803702251200
Q8TBC5,ZSCAN18,-4.334764068826050
Q9UKZ9,PCOLCE2,-4.859215433421940
Q7L2E3,DHX30,-6.73914797444808000
Q13315,ATM,-5.6519023133281900
A1L020,MEX3A,-3.7693503170044200
Q06136,KDSR,-6.1927343617536300
Q9BTU6,PI4K2A,-4.2769876491891700
P16949,STMN1,-5.2040312015979900
P45974,USP5,-5.7526458902016000
Q14669,TRIP12,-3.9499138567735700
Q92729,PTPRU,-3.212866595909310
Q96NI6,LRFN5,-4.018368581249220
Q9NZ32,ACTR10,-5.1799594383258100
P84095,RHOG,-3.28621560367908
Q8TB52,FBXO30,-2.996377349498040
P19404,NDUFV2,-6.4453760779403900
Q9UK99,FBXO3,-3.4323758159502800
O43169,CYB5B,-5.3673619767502100
O15260,SURF4,-5.9870886030744200
Q96FV2,SCRN2,-2.910762312944150
O60318,MCM3AP,-4.4990709080003600
O75376,NCOR1,-1.619472949966320
A7KAX9,ARHGAP32,-6.0042873684475300
P48651,PTDSS1,-3.292877524448620
Q9BRX2,PELO,-3.112340655849070
Q86XE3,MICU3,-5.5573873035365800
Q9Y250,LZTS1,-3.230477767189420
O75054,IGSF3,-5.5600307827548300
Q6UXD5,SEZ6L2,-1.468676156440060
Q9H3P2,NELFA,-4.6968989917011300
Q9H7P9,PLEKHG2,-3.4496330351053400
Q9Y6M1,IGF2BP2,-5.0696746863517000
Q0VG06,FAAP100,-4.0774328341894400
P15622,ZNF250,-3.3500808893689400
Q9ULV4,CORO1C,-5.5727689910058900
Q8WU76,SCFD2,-5.9860469961877000
Q9UJ14,GGT7,-5.9274538686760300
O00264,PGRMC1,-4.2103422738530800
O43524,FOXO3,-3.241988108927200
O14730,RIOK3,-1.76808783071556
P00367,GLUD1,-6.67610242464384000
P21953,BCKDHB,-4.6444078947789000
Q16539,MAPK14,-0.048362745619794
Q5GH73,XKR6,-4.6838390488890500
Q9ULP9,TBC1D24,-6.66202982125426000
Q9ULI0,ATAD2B,-5.9406533439338900
Q0VDG4,SCRN3,-5.2808005985753300
Q9NPF5,DMAP1,-2.735501012105500
O75970,MPDZ,-4.7202438119032900
Q12860,CNTN1,-7.39593825524486000
Q96FE5,LINGO1,-5.3905274091902700
Q5VSG8,MANEAL,-1.988120762883860
P48729,CSNK1A1,-3.237998017082920
Q8N5A5,ZGPAT,-2.898941191847820
Q9UNH7,SNX6,-5.605880462995140
O95140,MFN2,-4.2437396665372200
Q1L5Z9,LONRF2,-3.6591404745339700
Q14457,BECN1,-1.838048895658850
Q96GQ7,DDX27,-5.7313323850161700
Q9HBF4,ZFYVE1,-4.4797304282147600
Q9P0J1,PDP1,-5.3850908551778600
Q13242,SRSF9,-7.42763423289381000
P61421,ATP6V0D1,-7.29664741114249000
P58004,SESN2,-6.1371790744257900
Q8WVM7,STAG1,-4.9242781560218100
Q8WVZ9,KBTBD7,-3.5436028325681600
Q9UHK6,AMACR,-4.6548471503731100
O15079,SNPH,-5.7777062524714600
Q9Y2I8,WDR37,-5.9590803819160400
Q9BWD1,ACAT2,-6.97363024947638000
Q15560,TCEA2,-1.606200669577130
Q9HCM7,FBRSL1,-2.986757597168080
Q15650,TRIP4,-3.4065803008335000
P23246,SFPQ,-9.00841300111733000
O95758,PTBP3,-3.6973278511427200
Q14697,GANAB,-6.82579722166383000
Q9UNF0,PACSIN2,-5.8194777440472300
Q15599,SLC9A3R2,-3.012512748414590
Q9HCG7,GBA2,-5.4864825138111500
O75044,SRGAP2,-4.381924252574290
Q02127,DHODH,-5.7431959782259500
P55786,NPEPPS,-6.0635192247321600
Q9HCD5,NCOA5,-5.4048267419266200
Q92520,FAM3C,-3.7212655884268400
O94966,USP19,-6.4479379128770900
Q9UN74,PCDHA4,-2.102947564282820
Q9P2N5,RBM27,-3.6161972535422000
Q9Y376,CAB39,-4.0491729951077100
Q9UJF2,RASAL2,-3.6464906114496200
Q8IZ21,PHACTR4,-4.639811476515290
Q9UID3,VPS51,-4.6425951255405800